PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,02/24/2024,4:31:44 PM,1,1,Matthew  Dalquist,,Right,Ucsd 2024,Tucker  Moore,,Switch,Mizzou 2024,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,89.14818484168183,-3.15950034930635,-2.522618387335724,2286.0018242841757,211.57163506584655,1:00,5.231187819063795,1.2733844187348182,5.395163585725335,-15.29427323093945,20.48808260918815,11.018880619793197,1.4835769956773304,0.15922397106683542,81.6184577392314,-4.964558848863125,-3.0540036454057904,0.4305325461558641,,,,,,,,,,,,-6.52579897183485,11.716233290379359,-1.0561334225292571,50.00000000000004,4.938510759533786,5.3107035190556875,-129.38056674838253,-7.689105423111339,-11.079138819017258,26.588747101138313,-12.282879842595085,UCSD 2024,Mizzou 2024,,,,592275b2-fad3-4b29-97c0-a3d333353485,5f648e1c-aac5-4cb8-87bc-61de5d4f0170,89.31770132086939,5.233557754752294,1.277765833221895,-3.188556365576442,-2.5751170399508934,81.76800564058439,1.4820526127445435,0.15566358401529187,-4.986364335669285,-3.1075345611581073,0.4303976223560399,11.506241422793789,19.808069317687806,-15.2587095339178,94.30963758715757,2205.4141533091697,-601.6250934046689,96.4747328668366,-0.8219514442826147,-0.2631778710819962,-0.5051071484491899,,,,,,,,,,,,,,,,,0.9963799318655829,1,,,high,high,5.121326171558197,-76.41160147908361,55.10483835027467,Bradlee  Preap,,Ucsd 2024,2022-11
2,02/24/2024,4:31:54 PM,1,2,Matthew  Dalquist,,Right,Ucsd 2024,Tucker  Moore,,Switch,Mizzou 2024,Windup,1,Top,0,1,0,Fastball,,Foul,,,,,,,88.62655971655683,-2.3079131766437366,-2.6177462111225194,2299.0980913194467,210.5217020175832,1:00,5.209674960851818,1.3145970306350192,5.477010151207199,-15.651005255971443,20.417322785887436,10.493861572119123,2.2041336471804085,-0.18049071591958016,81.16014809034314,-4.158716059412964,-3.3776806101298558,0.4315784183935737,,,,,,,,,,,,-7.14562325437951,11.370167222378877,-3.495212305578886,49.999999999999986,4.590343289239517,11.72259207804707,-128.8801562988018,-3.518664678923124,-12.037466350002573,26.390027589954748,-13.019946373323291,UCSD 2024,Mizzou 2024,,,,592275b2-fad3-4b29-97c0-a3d333353485,22b8780d-8fb6-4a67-a97f-b8e845ea1c42,88.79948631001861,5.212136850076616,1.3189971577604962,-2.3378694612205853,-2.6698882845248146,81.31180315267453,2.202562668557607,-0.18398534821743023,-4.181317324012013,-3.4303252209832977,0.43144842182639975,10.977533150579927,19.708334350829848,-18.51037799365355,91.27518089973002,2180.1569306782985,-729.909440358257,94.82661652888032,-0.8168714254897135,-0.3174764239569108,-0.4815908994675203,,,,,,,,,,,,,,,,,0.996117679077377,1,,,high,high,7.85233719024298,3.6077194561415458,55.0229917847928,Bradlee  Preap,,Ucsd 2024,2022-11
3,02/24/2024,4:32:14 PM,1,3,Matthew  Dalquist,,Right,Ucsd 2024,Tucker  Moore,,Switch,Mizzou 2024,Windup,1,Top,0,1,1,Slider,,StrikeCalled,,,,,,,82.39696759539365,-0.24614475343218534,-2.0646659693335097,2408.23953439576,170.7647771810574,11:45,5.214919145879212,1.4473280783803362,5.234979727049771,-35.00481445784666,7.188146529716008,-2.0731117379852213,2.008283919355828,-0.5026423068151953,75.6001681739163,-6.822434203152951,-5.46835042827186,0.4675106670261807,,,,,,,,,,,,0.4971947714041938,3.8615010762531665,-1.256004317262526,50.000000000000064,5.166698373332612,4.385315310483306,-119.7225711358835,-1.6834241560013918,0.7189860119381479,23.906689296189874,-26.58998994058372,UCSD 2024,Mizzou 2024,,,,592275b2-fad3-4b29-97c0-a3d333353485,0fc8f213-3b4f-4999-8669-98f032cfe6dc,82.56226237162116,5.211083050491798,1.450690861762592,-0.20159835088238606,-2.1048513501540604,75.73843412833112,2.0116938905591324,-0.5049810684188728,-6.770857061345121,-5.502942249073653,0.4673542773313192,-1.6953781440699494,5.435520255614077,-79.53095572346365,84.46269576743201,437.58736907967136,-2368.150111257443,18.170425442727577,-0.1793489658912041,-0.9833532243924499,0.029161353033216243,,,,,,,,,,,,,,,,,0.9510433616386982,1,,,high,high,13.983573809311178,-32.545317943888826,55.26502220895023,Bradlee  Preap,,Ucsd 2024,2022-11
4,02/24/2024,4:32:26 PM,1,4,Matthew  Dalquist,,Right,Ucsd 2024,Tucker  Moore,,Switch,Mizzou 2024,Windup,1,Top,0,1,2,Curveball,,BallCalled,,,,,,,73.88571441550334,0.6621487071539607,-2.2283262849013314,2393.686838980994,44.43422221769561,7:30,5.248940356196572,1.3062424036340223,5.210243567387574,-58.749722292913425,-6.242390361751866,-12.006254739430089,1.122540720666412,-1.166041278092561,68.17404015866032,-9.764395352191256,-6.321976480554294,0.5231418093008272,,,,,,,,,,,,5.704633186322166,-3.8861490960696896,-1.0915329028515053,50.000000000000014,5.266251510343722,4.53630210394842,-107.28272826876577,-0.546884808379161,6.583738629334186,20.24940774512494,-36.65906888303236,UCSD 2024,Mizzou 2024,,,,592275b2-fad3-4b29-97c0-a3d333353485,2bba8bb5-4b92-4603-87b4-712e89d3005b,73.9725517448401,5.237239506710905,1.3078112402329993,0.8023062223198861,-2.2475291534459574,68.22126665953357,1.1321442931547332,-1.1671094811681635,-9.623842950115678,-6.337634697531762,0.5230440119596796,-11.809275387640394,-9.514014925518262,-53.49457569572315,73.62819731921721,1424.001619765135,-1924.0467951734165,59.48988800771201,0.4247903116177224,-0.8038005489441945,0.41648273514364315,,,,,,,,,,,,,,,,,0.9965566166897124,1,,,high,high,23.734622412704603,24.22117258178704,55.289758368612425,Bradlee  Preap,,Ucsd 2024,2022-11
5,02/24/2024,4:32:38 PM,1,5,Matthew  Dalquist,,Right,Ucsd 2024,Tucker  Moore,,Switch,Mizzou 2024,Windup,1,Top,0,2,2,Slider,,InPlay,,LineDrive,Out,1,0,,82.24886248983567,0.7239653135770476,-2.1870796654337505,2453.7001989426435,127.19724413646564,10:15,5.21046722472461,1.4372861261402914,5.208496658204165,-36.650218847694376,5.784824122308834,-4.6498653359343205,2.789356436649437,-0.6752754419562615,75.80972332311568,-6.1573579322436505,-5.889859782099989,0.4657787980717341,99.75566614371854,7.121201576496765,3.1011641001692296,1563.6734276265433,12.763824943635727,109.25696666999963,5.932605299461688,153.7004855435599,,8.000129678086747,1.2027829391190739,1.054577119827003,3.5855889768999263,-3.9748224612995178,49.999999999999964,5.422618365238866,10.695192735152451,-120.29721347912626,-0.5543762485895442,1.5371758670766993,24.4903452286715,-26.947612618117596,UCSD 2024,Mizzou 2024,,,,592275b2-fad3-4b29-97c0-a3d333353485,2b203c5c-1640-4f05-adeb-fed9771d286c,82.41216272975859,5.205794133979971,1.439895082455691,0.7785232417443433,-2.2183559490443305,75.94521958124633,2.7933598624877325,-0.6769331771925845,-6.09681593761543,-5.914386035174373,0.4656344668127937,-4.354829832776367,3.89924576424153,-79.22960510464407,73.13711250586945,458.5320917229353,-2410.475676531783,18.687372317144835,-0.1129765279450698,-0.9823839430630168,0.1488559456166799,5.355062456377523,98.84120600975177,12.3665770689848,0.6091614448786669,2.1449868822464215,2.871107271370704,21.39131767842749,152.2046345690783,12.414103848068136,-4.248490770770318,-0.032946288013395275,-0.02374131716820241,0.16858275286279004,-0.9854015452069894,,,0.9971219512271768,1,0.9968120211425252,59.08191450933963,high,high,24.176598744717456,-7.429082070475524,55.291505277795835,Bradlee  Preap,,Ucsd 2024,2022-11
6,02/24/2024,4:33:17 PM,2,1,Matthew  Dalquist,,Right,Ucsd 2024,Trevor  Austin,,Right,Mizzou 2024,Windup,1,Top,1,0,0,Fastball,,Foul,,,,,,,89.05901574108746,-2.917334554396832,-2.4084181544325656,2243.685103396415,219.16340341948973,1:15,5.161792452321923,1.153113072279973,5.5036900731399445,-16.946683616216788,18.719385605379706,13.202535906984519,1.517615559674558,0.0962324779583499,81.5462646774586,-4.91252577089805,-3.086321404201946,0.43005262303128416,81.82149121154585,62.68369411913445,70.68874168320636,,103.25537045819426,37.925301204521546,131.69346111086577,227.3851624663855,,70.27425206568776,5.729762883498425,-7.56301325635287,10.576192674570743,-0.9516297886148108,49.99999999999999,4.8953860402137375,4.988581388200506,-129.30681209464205,-7.196368959929623,-12.816915477571753,26.72611537484937,-14.250747987841047,UCSD 2024,Mizzou 2024,,,,592275b2-fad3-4b29-97c0-a3d333353485,38bb9f12-0943-498c-8dd4-f7f58d576981,89.22214029176727,5.163473749705067,1.1581023056008497,-2.938781109598559,-2.470255577354137,81.69184658420524,1.5165524318617396,0.09195061912562645,-4.927324493257553,-3.1504206105721937,0.42992294647907886,13.828003118294887,18.033875910157523,-17.742188171321303,84.4088379292218,2136.9695071137285,-683.7281395913798,95.24373557942049,-0.7384704248416514,-0.30473444716300657,-0.6014967567214703,35.43547538980275,12.417144322684575,72.69730417869278,-0.009942492719578453,1.9125382497333026,1.680750584344881,214.04196551316693,76.74665536116083,,,,,,,,,0.9972628758158909,1,,34.18530902528614,high,high,14.032045863700475,14.529974915309344,54.996311862860054,Bradlee  Preap,,Ucsd 2024,2022-11
7,02/24/2024,4:33:35 PM,2,2,Matthew  Dalquist,,Right,Ucsd 2024,Trevor  Austin,,Right,Mizzou 2024,Windup,1,Top,1,0,1,Curveball,,BallCalled,,,,,,,71.92690678907107,1.3310882382572449,-0.18191845228358933,2306.4027180712174,43.435931924662874,7:30,5.212027225412805,1.2901013512907065,5.122992533874508,-66.815404856467,-10.520619328392094,-14.777498917175297,1.1899010321726748,0.4166214807750946,65.93254024425515,-10.313605566175596,-5.500927673017144,0.5380218338796505,,,,,,,,,,,,7.754809667586485,-6.372304215804351,-1.2618138116256248,50.00000000000002,5.286194442939078,0.7696191146442635,-104.47940284471237,0.44525471119274773,8.48756280134742,19.21799609533555,-39.14847378715041,UCSD 2024,Mizzou 2024,,,,592275b2-fad3-4b29-97c0-a3d333353485,d33d8e04-ccbc-4c96-bee8-b7c208e0b734,71.98309002628487,5.198353961327205,1.2896194529630862,1.4963299356056323,-0.17621974712155633,65.94320871180237,1.2009224034750945,0.416945644008814,-10.152866462152586,-5.495990607766944,0.5379598990233719,-14.807288020172543,-14.214003784696702,-37.557771180075285,47.926557157959834,1828.3756634468648,-1405.8932858654443,79.27391210221458,0.5756424666770497,-0.6095610601088587,0.5450422594229976,,,,,,,,,,,,,,,,,0.9974909690671037,1,,,high,high,46.866098557836175,-11.18043700718168,55.377009402125495,Bradlee  Preap,,Ucsd 2024,2022-11
8,02/24/2024,4:33:46 PM,2,3,Matthew  Dalquist,,Right,Ucsd 2024,Trevor  Austin,,Right,Mizzou 2024,Windup,1,Top,1,1,1,Fastball,,StrikeCalled,,,,,,,88.44626462901876,-1.2108601639634615,-3.644443960237057,2335.6802376736646,212.91711561694643,1:00,5.212525100726391,1.2420793083748978,5.47710746803601,-16.136486695952577,20.123193186530962,11.441501103317737,2.916775906843234,-0.5077816831857838,80.7588709286898,-3.785948351467121,-3.3936811846420136,0.4333946094211322,,,,,,,,,,,,-7.089649137265057,11.028088717683104,-0.9298599941395066,50.00000000000002,5.095274335975727,7.782531863903916,-128.39774933070544,-3.277282474338363,-11.839685055932454,26.49215799579773,-13.757186542673283,UCSD 2024,Mizzou 2024,,,,592275b2-fad3-4b29-97c0-a3d333353485,e43c30d8-fb2b-429c-9619-ea8a67e247d4,88.61922785392576,5.214922216082405,1.2467723669502246,-1.240511143677513,-3.700869612888576,80.91031000064018,2.91527268085964,-0.5116078833901668,-3.807452403201255,-3.4510935771357976,0.4332550762893523,11.965571372555482,19.390700410357017,-19.14568235983699,94.28720546761487,2206.488432626241,-766.0358799337668,94.46877175378687,-0.7930252537906026,-0.32797121265911716,-0.5133671498228711,,,,,,,,,,,,,,,,,0.9978446713574519,1,,,high,high,5.141515079146482,-45.73001518218995,55.022894467963994,Bradlee  Preap,,Ucsd 2024,2022-11
9,02/24/2024,4:33:59 PM,2,4,Matthew  Dalquist,,Right,Ucsd 2024,Trevor  Austin,,Right,Mizzou 2024,Windup,1,Top,1,1,2,Slider,,InPlay,,FlyBall,Out,1,0,,81.71857965157157,0.4121638551665253,-1.6217457832205426,2532.3989297845183,107.3927580036825,9:30,5.139170590073354,1.438224594163446,5.2298328214734555,-38.442490574287056,4.486245590043197,-6.29466566780836,2.6437442797657837,-0.293687867238196,75.0939302647597,-5.916818496831305,-5.617302342436717,0.4694972915207234,86.43883284161086,23.995374726969956,3.5664809922369107,3242.659717300936,13.29811115544562,109.19322432456298,43.50244571160514,334.5719856281571,,12.829395628360786,4.233849169280906,1.8746534535434323,2.7431179727792885,-4.026039888999522,49.999999999999964,4.918018365049202,9.579813973013714,-119.32036685471456,0.664240479244785,2.6870748468014503,24.194598850749294,-28.242142442025326,UCSD 2024,Mizzou 2024,,,,592275b2-fad3-4b29-97c0-a3d333353485,a94d5408-3edd-4b28-9c2e-ae7a3b90fc3f,81.874259324465,5.13379247157983,1.4404453436905928,0.47584285223182277,-1.6487040023880977,75.2236818564178,2.64828907669279,-0.2951542834676064,-5.848021676887463,-5.639035635616282,0.46935422762488044,-6.03959179190622,2.495205339987751,-77.56319064250336,86.0107926917604,545.3843436477388,-2472.9739701981703,21.53627286890954,-0.06437626499145023,-0.976534123874628,0.20551593956227215,4.912374309627791,78.81570174480352,35.151465974212634,0.2926547504955884,1.3201004440076136,2.6204757363993574,74.29129765226307,326.2195835021414,57.56849009972024,61.08113728353626,1.2653824207772266,0.8416252453167771,0.24620269098067188,-0.4806778353526929,,,0.997723201468605,1,0.994612971281781,48.55287405052193,high,high,12.590286577415572,13.784854002363373,55.270169114526546,Bradlee  Preap,,Ucsd 2024,2022-11
10,02/24/2024,4:34:30 PM,3,1,Matthew  Dalquist,,Right,Ucsd 2024,Thomas  Curry,,Right,Mizzou 2024,Windup,1,Top,2,0,0,Changeup,,StrikeSwinging,,,,,,,82.51818378461923,-1.3611824407887114,-3.2997753063279363,2250.4677687637995,244.15474083019873,2:15,5.003557017436577,1.5612235460766881,5.60245725639623,-30.03999376341181,11.41437604186105,18.443156817683022,1.5518576689739063,0.48233333504222964,75.39610995332319,-6.091954214232563,-2.2689756636037584,0.46340069531923506,,,,,,,,,,,,-10.76623654754995,6.4733343696773495,-1.2907106170762528,50.000000000000064,4.8676754243808,6.327168175320899,-119.84637523720872,-3.8014968811863836,-15.653650535775991,23.22983215083205,-22.762096432581988,UCSD 2024,Mizzou 2024,,,,592275b2-fad3-4b29-97c0-a3d333353485,6c86ed7a-e070-459e-8944-6139e5e0e244,82.65767964022565,5.002507607854575,1.5689690796016342,-1.3489332800185616,-3.3958556570720977,75.51168195835079,1.5532078185078582,0.47582696303236865,-6.070580407244981,-2.3669703243051505,0.4632754918893111,19.336217765473464,10.148049677564444,-23.312282902184638,19.294542534640343,2066.7430973899345,-890.6054949503588,91.83615629053037,-0.4003525093362404,-0.39574239067621736,-0.8265021648429288,,,,,,,,,,,,,,,,,0.9954732979272887,1,,,high,high,72.63491171882369,3.9382317430554146,54.89754467960377,Bradlee  Preap,,Ucsd 2024,2022-11
11,02/24/2024,4:34:44 PM,3,2,Matthew  Dalquist,,Right,Ucsd 2024,Thomas  Curry,,Right,Mizzou 2024,Windup,1,Top,2,0,1,Fastball,,InPlay,,GroundBall,Out,1,0,,88.60315068945641,-1.3530864110046712,-2.1310195674795795,2186.5291380626363,215.55278276912358,1:15,5.179104595964764,1.477112494369694,5.523197416251655,-17.049457121571788,18.602283574461335,11.359752090611511,2.591655384666756,0.8411344421068914,81.36484979683414,-4.210066044634323,-2.664591908279041,0.4318806362388077,,,,,,,,,,,,-6.591769719211154,10.081875183927714,-1.2993770428892657,49.99999999999997,5.049703114130604,4.405001386368045,-128.78982954594477,-3.6556080495049126,-11.064605968142203,26.90168452959699,-15.251131905025405,UCSD 2024,Mizzou 2024,,,,592275b2-fad3-4b29-97c0-a3d333353485,7eec1579-c9fa-43c3-a83f-3f5569f414ae,88.77467162582415,5.180884269727916,1.4818644895747188,-1.3756347014747543,-2.189072818094011,81.51597486891991,2.590560212624183,0.8372380068088376,-4.2255620777928495,-2.723413476489739,0.43174181628185954,11.929871873968409,17.87014377903756,-24.48990099613884,46.017003968605074,1989.8166214814416,-906.3881533168425,91.00343493453323,-0.7403859372155106,-0.4145328491345619,-0.5291419289395735,,,,,,,,,,,,,,,,,0.9976145075719826,1,,,high,high,48.58469642825544,-40.219443029686744,54.97680451974835,Bradlee  Preap,,Ucsd 2024,2022-11
12,02/24/2024,4:37:15 PM,1,1,Logan  Lunceford,,Right,Mizzou 2024,Michael  Crossland,,Right,Ucsd 2024,Windup,1,Bottom,0,0,0,Fastball,,StrikeCalled,,,,,,,90.96815154584992,-1.6508316453807912,-5.421909744746178,2184.9769390144306,211.99014620353208,1:00,5.177404842035316,5.03159147870678,6.0000001920000035,-13.834251450820057,19.879824218004977,11.489502729879387,2.4877907064825537,0.9507165179891726,83.05233596027333,-4.25052691736088,-3.269806989584687,0.4179045994887411,,,,,,,,,,,,-7.697638935997968,11.209697955010961,-4.610822476955621,49.999999999999986,5.039493007061466,12.139775414491705,-131.8326875770095,-4.265606982997915,-13.574395866831887,27.495751744632027,-12.406315758249724,UCSD 2024,Mizzou 2024,,,,592275b2-fad3-4b29-97c0-a3d333353485,13672cd9-fcfb-4c1a-bf08-6b65a5d2e6a7,91.1451174938922,5.179639594257044,5.035774469611406,-1.6786878338676343,-5.472867354658241,83.20165808156456,2.486441755683441,0.9473613115128626,-4.270000212502744,-3.320540182693471,0.41778629066060824,11.970730273991359,19.264640206499198,-2.205489090890038,95.00224515550819,2183.358382727125,-84.08565038141406,99.92592341555624,-0.8475109471958908,-0.03848354135002553,-0.5293809700284707,,,,,,,,,,,,,,,,,0.9978357618424233,0,,,medium,high,4.497979360042988,-77.39295920371676,54.500001743999995,Jedier  Hernandez,,Mizzou 2024,2022-11
