PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,03/02/2024,1:15:12 PM,1,1,Matthew Dalquist,dalquma42,Right,Uc san diego,Colton Griffin,griffco54,,Stephen f. austin state,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,89.19465037844543,-2.771694774965722,-0.8206522491685437,2353.8911145542806,215.22330323268935,1:15,5.254144994976743,1.3732534119828224,5.368226988295522,-15.84187096080952,19.907699346271283,12.503234728969593,1.5971818154875026,1.9191140843314702,80.33641151897848,-5.209895046722795,-1.3264653413463179,0.4303352635365777,,,,,,,,,,,,-6.846727259420014,11.309593933224399,-1.3084971465897286,49.99999999999997,4.994586567688765,1.4123638828392857,-129.58362541266158,-6.836476260690793,-11.640884398124737,27.099174422101765,-12.945347962861229,UC San Diego,Stephen F. Austin State,,,,d085e781-c8d2-4113-a34b-53db5f7d007e,585947cd-bc51-4e08-bce8-77040d8173ae,89.36268569688987,5.25639528911689,1.3782052659260409,-2.799410734227076,-0.8799734508135566,80.48220100761291,1.595888988057056,1.9150806465318815,-5.2284121438386615,-1.3874875635621624,0.4301997842458233,13.05350030995794,19.1579951677139,-12.90243104970408,97.0404133023448,2294.459413548218,-525.603823005086,97.47517204009173,-0.7962848034631725,-0.22329147671922428,-0.5622023018435309,,,,,,,,,,,,,,,,,0.9975852880039768,1,,,high,high,2.6636280278896116,17.83307488864024,55.13177494770448,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
2,03/02/2024,1:15:22 PM,1,2,Matthew Dalquist,dalquma42,Right,Uc san diego,Colton Griffin,griffco54,,Stephen f. austin state,Windup,1,Top,0,1,0,Fastball,,InPlay,,FlyBall,Out,1,0,,89.7942583817108,-1.3326678919311175,-1.9187658519416926,2325.5062552138907,217.7835566158026,1:15,5.244299494192859,1.3134568812610972,5.338794206644996,-16.591507277249086,18.715207554155114,12.812255783632525,2.9982967276162187,0.2177371631394266,80.29874212069161,-3.5722073045989835,-3.288236414408654,0.4276615221229468,85.00989459774071,49.103871229959736,-19.28775609252091,,-35.99941423027963,103.94249455861336,94.15043733927438,295.8331888441601,,-19.219058711182644,5.093211456985591,-7.314312049895202,10.272047668127803,-1.149605206743456,49.99999999999999,5.11243701553069,3.9120371549326434,-130.49877378414448,-3.633062054948785,-12.602658088674298,27.676461839915095,-14.475173225668387,UC San Diego,Stephen F. Austin State,,,,d085e781-c8d2-4113-a34b-53db5f7d007e,afea450e-f2aa-4eec-84b9-53d87ff7b0c6,89.96625574519604,5.246397970414053,1.318704244667852,-1.3586922529518892,-1.9819766509409584,80.44911490655286,2.9970667486266387,0.2133136767937664,-3.5894788935280784,-3.3540743743667627,0.42752560726991495,13.399825276991312,17.934893060495934,-19.100418778507247,97.243556827113,2197.4790419373726,-760.9633389887705,94.49465194989371,-0.7468204131372961,-0.32722480848316626,-0.5789500800885976,-18.383588231869997,52.53127171082371,64.25878426864024,-0.24339797875307653,1.8660410213223027,3.233139146436508,-97.38259491559025,279.3454954517981,,,,,,,,,0.9978803963925076,1,,43.241575810536816,high,high,2.48079885559789,-26.50061663576334,55.161207729355006,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
3,03/02/2024,1:15:47 PM,2,1,Matthew Dalquist,dalquma42,Right,Uc san diego,Cole Hill,hill-co59,Right,Stephen f. austin state,Windup,1,Top,1,0,0,Fastball,,StrikeCalled,,,,,,,88.47992504363657,-2.4759013175964237,-2.5809392299004936,2248.295628190976,217.11223206463748,1:15,5.200820184805542,1.1013039604061652,5.47362776827788,-16.96944265541023,19.230111019244905,12.818745625418675,1.653188900328986,-0.08832114210742593,79.88716530503886,-5.22400959757693,-2.927030502426848,0.43303513043538044,,,,,,,,,,,,-7.520819021923639,10.898251347107898,-0.8833813965030737,49.99999999999995,4.971812886241513,5.347899555380816,-128.4889415680772,-6.149101827321926,-12.583683513974567,26.40901218467305,-13.939314059459468,UC San Diego,Stephen F. Austin State,,,,d085e781-c8d2-4113-a34b-53db5f7d007e,118dd3a4-8534-4518-afd4-c6fd6c0f13d6,88.64515751428775,5.202686006982373,1.1062191356733797,-2.499442282685941,-2.641037990734243,80.03080054403037,1.6521636388601368,-0.09240360379976037,-5.2384429616333215,-2.98899325332883,0.43290177187765483,13.376023104051301,18.464367579052443,-14.096037121873257,93.22835901224028,2180.596888550499,-547.5677504990028,96.9888862126664,-0.773442850471772,-0.2435479318792195,-0.5852098443562407,,,,,,,,,,,,,,,,,0.9978008933058894,1,,,high,high,6.094476888983698,-49.666587596601865,55.02637416772212,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
4,03/02/2024,1:15:58 PM,2,2,Matthew Dalquist,dalquma42,Right,Uc san diego,Cole Hill,hill-co59,Right,Stephen f. austin state,Windup,1,Top,1,0,1,Fastball,,StrikeCalled,,,,,,,89.19476705570511,-1.4762081450430653,-3.352730596614068,2274.097994746112,218.68675032913157,1:15,5.273373104085481,1.293287545356798,5.410087199063803,-17.985837882240677,18.591321799816523,12.58649936802431,2.862913249266103,-0.882324836343845,80.62415649551029,-3.704424550438785,-4.405910185197248,0.43025661656038905,,,,,,,,,,,,-7.410347115715945,9.897157206676187,-1.003537049815069,50.00000000000006,5.129673111362461,7.155430386774914,-129.49550253435396,-3.971593257977987,-12.585999110010409,26.98251030825987,-15.364363096324034,UC San Diego,Stephen F. Austin State,,,,d085e781-c8d2-4113-a34b-53db5f7d007e,9b289421-391f-449d-942d-33ac76f0c45d,89.36552271235196,5.275149611728675,1.298436456515294,-1.4986533453692585,-3.4153517483508233,80.77516668081064,2.861841284281072,-0.8866613462346212,-3.7194000752309866,-4.471089668878383,0.4301212745299046,13.2257215667731,17.86707691702713,-25.82314680317253,69.91958124537577,2047.0130912644474,-990.5852279840732,90.0142868070636,-0.702628995905681,-0.4355947853929951,-0.5626452497364615,,,,,,,,,,,,,,,,,0.9970306346894623,1,,,high,high,27.072376879161865,3.855812056385603,55.0899147369362,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
5,03/02/2024,1:16:10 PM,2,3,Matthew Dalquist,dalquma42,Right,Uc san diego,Cole Hill,hill-co59,Right,Stephen f. austin state,Windup,1,Top,1,0,2,Slider,,Foul,,,,,,,83.96813313620632,0.279881617159335,-2.2084325621794516,2563.737794708411,159.2457657745783,11:15,5.2397231980127135,1.2704150007309098,5.2563839055251,-33.323773192058425,7.2890249080646825,-2.7725565938441146,2.695989689261279,-1.1724485169323422,76.34778436222706,-5.778749056321291,-6.378442125104439,0.45867279146990936,80.29934168057714,-0.8278655161250495,44.01263879693912,1896.0174342044418,,,,36.17730825805404,,43.819342306706965,0.30440894235591204,0.8239736010906191,3.765770644451316,-1.0661912978138754,49.99999999999998,5.241182168837871,4.798572220414973,-121.99545568988559,-0.533399926769836,1.2368735146376446,24.88326236189176,-26.52122045876014,UC San Diego,Stephen F. Austin State,,,,d085e781-c8d2-4113-a34b-53db5f7d007e,454800b5-1f48-493a-b220-48bc02c2a9ef,84.13734710861434,5.236147697835391,1.273323313451867,0.3217228718211972,-2.2435233814901783,76.4899059989705,2.699110067341098,-1.174471495921054,-5.7310145235300025,-6.408498575187511,0.45851913034716846,-2.442334075567434,5.601338468547384,-78.91197348306959,76.36848672279467,493.05006129029675,-2515.88018734557,19.231688291523362,-0.17983725279861348,-0.9813328775424617,0.06814943844287535,55.787526265355815,57.744178201943306,-1.1602031324404694,1.1855133494895485,0.7611117675751378,2.590678462630735,25.048690380869907,26.102887637224747,-4.005776417573228,-3.3387915162380906,-0.1158230486912091,-0.5031344577665249,0.4883910665623541,0.7129725685537075,,,0.9977927352703783,1,0.9955604201024056,40.703861526197855,high,high,21.268361949484767,-17.991352614290452,55.2436180304749,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
6,03/02/2024,1:16:30 PM,2,4,Matthew Dalquist,dalquma42,Right,Uc san diego,Cole Hill,hill-co59,Right,Stephen f. austin state,Windup,1,Top,1,0,2,Fastball,,InPlay,,GroundBall,Out,1,0,,89.69012879000154,-1.4018923772905845,-1.8031598143314196,2331.4746092811924,216.05849133970008,1:15,5.294481986572726,1.3281962934300529,5.385420073613333,-15.884699726743643,19.436433953545993,12.63184121424073,3.17405105581312,1.1566375203719996,81.23268704430906,-3.2041272089267387,-2.4256966593198266,0.43081860991345267,46.675913541499874,-5.407180362700151,-33.84710544720902,544.0133757115626,,,,20.4032185317909,,-34.70027858929757,0.2747973006876747,-8.138104857782746,10.549456727529572,-4.184615022456809,49.999999999999964,4.686192600793774,10.43606662540023,-129.37587372514383,-1.0666920426352564,-13.798658514370857,26.893599505293718,-14.286795312531046,UC San Diego,Stephen F. Austin State,,,,d085e781-c8d2-4113-a34b-53db5f7d007e,f3687993-9bd6-4296-8e44-3945f11e960e,89.86064257371014,5.296685634468541,1.3331363165074834,-1.4296197258138477,-1.8634763388628157,81.3846198265397,3.1726495580967393,1.1524690961704855,-3.224338036879881,-2.4886373282264245,0.4306914855004413,13.191637161279834,18.673499992232543,-15.250279415303929,89.40087358364379,2249.3741567251204,-613.2615728871677,96.4786040461584,-0.7799489759433089,-0.2630359217492143,-0.5678835257291099,-25.881801210941237,38.59309804542755,-4.398414972113011,-1.2372391834865537,1.5215926049993702,3.125082662827678,-11.615216084194351,16.774328057287075,0.2731126815035256,-0.49209307451535106,-0.040222774388421006,-0.9709184322802197,-0.02592159588256531,0.2380030855376072,,,0.97937776395605,1,0.9978139242591214,15.180949534879524,high,high,9.539213774720604,59.621135286775505,55.114581862386665,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
7,03/02/2024,1:17:00 PM,3,1,Matthew Dalquist,dalquma42,Right,Uc san diego,Brock Knoerr,knoerbr42,Left,Stephen f. austin state,Windup,1,Top,2,0,0,Fastball,,BallCalled,,,,,,,88.49134112562423,-1.9410601815522956,-1.6181500891790217,2293.1799910935874,219.8209008592206,1:15,5.202647648099598,1.5152901817208813,5.480544770814105,-17.643965897534045,18.508259358225445,13.63937051424278,2.1751688828375437,1.7825352261223184,81.24813630790635,-4.5798472994205985,-1.6425968159456479,0.4327519560691536,,,,,,,,,,,,-7.701348814728393,10.37965918393959,-1.3826617656259317,50.00000000000003,5.020604965509073,3.16165499307574,-128.61993721221074,-4.971103894860259,-12.895237779085008,26.78760010905954,-14.794214382744766,UC San Diego,Stephen F. Austin State,,,,d085e781-c8d2-4113-a34b-53db5f7d007e,d142df1b-8c08-49ed-9f87-bde7ffdf48d8,88.65800338012161,5.204456090970684,1.5207933339661492,-1.9634237663104477,-1.6839730740565684,81.39205436267959,2.1741393194600187,1.7782005665177467,-4.594568415837013,-1.7086615849722788,0.4326162437308524,14.249021694655028,17.68572922715874,-15.095772526725849,88.89021437490025,2214.0465886043867,-597.2203739334952,96.54918485262628,-0.7415459830029374,-0.2604332744280961,-0.618291245824221,,,,,,,,,,,,,,,,,0.9974755542049422,1,,,high,high,9.998807062589695,-86.90618180609003,55.0194571651859,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
8,03/02/2024,1:17:11 PM,3,2,Matthew Dalquist,dalquma42,Right,Uc san diego,Brock Knoerr,knoerbr42,Left,Stephen f. austin state,Windup,1,Top,2,1,0,Fastball,,InPlay,,LineDrive,Single,0,0,,89.52705383974993,-0.7778971709883475,-1.385483552332573,2250.31796504812,220.11617232161328,1:15,5.257482601004994,1.2618820134025104,5.311480263494913,-17.941092475112395,18.331300702838274,13.4320939954913,3.4196739164554546,0.7611592469375341,80.86579280073121,-3.1581359067019,-2.8140387778700267,0.43347058073225175,92.03586765601763,6.805267173937132,-0.2215625586578469,737.0764740782586,-4.753908941414335,109.89722629901391,6.456073207706572,157.77334925788332,,-3.256704063689751,1.3536283807768057,-8.566099352596588,9.633774271339457,-4.160795335456845,50.00000000000001,4.752374175808261,11.472155627923023,-128.7506565772828,-0.242277958808123,-14.385169313422118,26.619341496855323,-15.995918990479886,UC San Diego,Stephen F. Austin State,,,,d085e781-c8d2-4113-a34b-53db5f7d007e,43f754e4-99f9-4511-95fe-5bfd24293ed1,89.69885252292478,5.259223626616029,1.2673154182689998,-0.799904456644539,-1.4514199267239547,81.0163408725817,3.4186604101139557,0.7566544523798397,-3.1724397187973796,-2.882026885410199,0.4333419830191042,14.095467868295424,17.556669353650737,-21.235613872189752,71.44504972350425,2097.5187683708155,-815.0742053031062,93.20988415634689,-0.7128128579241393,-0.36220401648247824,-0.6005881117887546,-0.3533939973289137,91.38675662352478,10.905813207243773,-0.739304908228508,1.0939530660469976,3.3967339784044603,-8.963041962041723,157.51855006581513,-7.699761994545342,20.63466301002865,0.19931448599784574,0.522572785360005,0.11316398258110619,0.8450512393029604,,,0.9847771322545729,1,0.8887342442247577,52.07986806864473,high,high,25.699455248846256,13.723882783677373,55.18852167250509,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
9,03/02/2024,1:17:46 PM,4,1,Matthew Dalquist,dalquma42,Right,Uc san diego,Cal Martin,martica77,Right,Stephen f. austin state,Windup,1,Top,2,0,0,Fastball,,StrikeCalled,,,,,,,89.29123584418771,-1.5249116144000558,-2.534864576979979,2314.769796656449,218.2208868287824,1:15,5.299620922322316,1.1794047178998055,5.271684778762091,-17.106447006643073,19.135109157186413,13.08347849661413,2.9980764269507536,-0.3911603715375475,81.06841375672387,-3.4495090710602176,-3.5375598865291904,0.43072544408160784,,,,,,,,,,,,-7.44641262948333,10.237883979669146,-0.9571917478382554,50.000000000000036,5.1478412299720455,5.280935540207588,-129.694944556017,-4.076777694613702,-12.680557720661938,27.179349259345766,-14.739872190616731,UC San Diego,Stephen F. Austin State,,,,d085e781-c8d2-4113-a34b-53db5f7d007e,d31c6ff3-343c-4b29-bf81-9a2548bb5c1b,89.46229535325267,5.30160313317294,1.184673549176253,-1.5496549653782041,-2.5984072438411316,81.22026565997162,2.9968338665905008,-0.39555875634941057,-3.467080976507522,-3.6034820801108958,0.4305889297987948,13.723884592323042,18.420116961390438,-20.98801876647108,79.8432655539245,2161.19719063736,-829.0873987066273,93.36553439392047,-0.7335089586502526,-0.35817272192863236,-0.5776477376793375,,,,,,,,,,,,,,,,,0.9820472183563382,1,,,high,high,18.141061001468046,44.22679921680667,55.22831715723791,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
10,03/02/2024,1:18:05 PM,4,2,Matthew Dalquist,dalquma42,Right,Uc san diego,Cal Martin,martica77,Right,Stephen f. austin state,Windup,1,Top,2,0,1,Curveball,,StrikeCalled,,,,,,,76.34623790995018,2.0176887917395323,-1.9017826637520208,2562.380784964031,55.08522140092747,7:45,5.325391430112606,1.2291937902476355,5.033815611932861,-54.5325694321838,-4.75551920240045,-12.860155070025204,3.0185051130776914,-1.0690579719708229,70.07666439173488,-7.049495534433917,-6.22577567623529,0.5077922880741226,,,,,,,,,,,,6.167851328794645,-3.101031012862443,-1.0376705302107845,50.0,5.475577614924291,4.087174653858675,-110.79846632761962,2.1747948309206477,7.605695759739468,21.28123756494995,-35.99799039910609,UC San Diego,Stephen F. Austin State,,,,d085e781-c8d2-4113-a34b-53db5f7d007e,f46ddfeb-34ca-43cf-b70c-276512a02843,76.45413640964725,5.314684299481252,1.2300732661639207,2.1446485815345864,-1.912615934567977,70.14845797985478,3.027331784645749,-1.0695602648332982,-6.919490627623649,-6.232950108714251,0.5076800948357664,-12.754825331633246,-7.662702665571802,-55.58535213624474,89.15461881280076,1448.2010446156592,-2113.8848174692484,56.517792090607955,0.32348376560667175,-0.8249690404616898,0.4634483095973558,,,,,,,,,,,,,,,,,0.9965699366102178,1,,,high,high,9.760843068479074,38.99699518184381,55.46618632406714,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
