PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,04/01/2024,6:06:09 PM,1,1,Matthew Dalquist,dalquma42,Right,Uc san diego,Anthony Mata,mata-an43,Right,Uc riverside,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,89.7607485969983,1.7150019009208037,-3.139037930355019,,,,3.430187782463933,3.534474298598613,-2.7198810690201873,,,,1.5284520999578057,0.14509764726493649,80.5983526951299,-5.630270367066527,-3.1390379303549794,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,UC Riverside,,,,a0be3bfd-2717-44d8-9f70-9adb7d9a5113,9666bb68-cb90-448c-bb34-19b32042e76c,89.99249739279793,3.422925856105519,3.5344742985986093,1.7892863523463727,-3.139037930355,80.775306873914,1.5349965223180333,0.14509764726493207,-5.542470629955106,-3.139037930355,0.49650561675254534,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,low,high,,,63.219883005020186,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
2,04/01/2024,6:06:20 PM,1,2,Matthew Dalquist,dalquma42,Right,Uc san diego,Anthony Mata,mata-an43,Right,Uc riverside,Windup,1,Top,0,0,1,Fastball,,BallCalled,,,,,,,88.45062870788502,-1.8490316609666206,-0.2462605712527648,2352.205511986545,212.62389187785132,1:00,5.2792402690916145,1.3051346939256698,5.314873434002081,-16.142258681403504,20.27169497203292,11.581908711206712,2.510333074914342,2.5802238506160045,80.45886450392895,-4.080097843238654,-0.95598846171694,0.4343156111112606,,,,,,,,,,,,-6.190317245661729,11.234391066272437,-1.2911001916298734,49.99999999999998,5.100347074398022,0.141673951772988,-128.57548376361666,-4.7235942419646575,-10.34930739120862,26.977752335365142,-13.391786596266478,UC San Diego,UC Riverside,,,,a0be3bfd-2717-44d8-9f70-9adb7d9a5113,6ae8d9cd-3f52-4d43-8f3e-70b12c6406b5,88.62050386647243,5.281537458774853,1.309681084695292,-1.8781825503501692,-0.3023982517740985,80.6086043633919,2.5088703192300437,2.576436469032773,-4.101374530323297,-1.0135560289393146,0.4341757526237375,12.103698126651212,19.471607360554767,-15.649874052140222,95.93968594803735,2265.0048211464928,-634.5265406608523,96.29281155937744,-0.8110046942176601,-0.26975812165535046,-0.5191357642831949,,,,,,,,,,,,,,,,,0.9895405631147677,1,,,high,high,3.654282646766453,-66.25074094283745,55.18512850199792,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
3,04/01/2024,6:06:33 PM,1,3,Matthew Dalquist,dalquma42,Right,Uc san diego,Anthony Mata,mata-an43,Right,Uc riverside,Windup,1,Top,0,1,1,Slider,,InPlay,,GroundBall,Out,1,0,,80.82915893220537,0.5591140660321867,-0.6923878895645684,2505.7858193165644,123.98559656002483,10:15,5.140709917075668,1.466642107895708,5.0892418393275225,-39.20449756733127,4.864336443575596,-4.71315870042015,2.52547549146498,0.8223839710056551,74.50244673957265,-6.351546605373045,-4.50664999394768,0.4777902712422485,,,,,,,,,,,,2.2719726100779565,2.3899620033594715,-1.397635661360709,50.00000000000004,5.163427395765309,1.5774586524964167,-117.47429277761103,-0.1659291959915093,3.1614060317379185,23.13657114715457,-28.848463591023666,UC San Diego,UC Riverside,,,,a0be3bfd-2717-44d8-9f70-9adb7d9a5113,ae5ce02f-7bbd-40c1-a7d2-fbab9a0291d9,80.9849913504096,5.135604848638209,1.4695193721102706,0.6201717510878194,-0.7277537830132664,74.63267338113432,2.529914093465497,0.820417890565264,-6.284338087150543,-4.5359164307291815,0.47763592749102757,-4.379326277050773,2.8768873661672822,-80.17928709499486,81.72695654385961,427.40113465098716,-2469.066795853655,17.056570891105043,-0.09534358344673542,-0.9853463040696254,0.1414293539257837,,,,,,,,,,,,,,,,,0.9971427935781635,1,,,high,high,16.445739110526322,8.260078618065652,55.410760096672476,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
4,04/01/2024,6:07:09 PM,2,1,Matthew Dalquist,dalquma42,Right,Uc san diego,Zach Chamizo,chamiza42,Left,Uc riverside,Windup,1,Top,1,0,0,Fastball,,Foul,,,,,,,91.7164345910767,2.296016512372956,-2.6160971407447215,,,,3.430981994538664,3.7298355567538857,-3.269662493772247,,,,2.271968823438399,0.8808481961163037,82.14378499515712,-4.815637773332863,-2.6160971407447455,,83.27746658515055,42.80679318922869,-57.69796713778487,2249.3124983491034,-85.96896839094542,68.62460537753931,69.99246765085367,277.40841234337034,,-45.602989863047036,4.02880999348839,,,,,,,,,,,,UC San Diego,UC Riverside,,,,a0be3bfd-2717-44d8-9f70-9adb7d9a5113,802df763-c745-4974-9a3d-198839dabba9,91.95964038092883,3.4238595608072253,3.7298355567538866,2.3682505086338743,-2.616097140744733,82.33076065766639,2.278371515388762,0.8808481961163072,-4.729718502129947,-2.616097140744733,0.49039609351073166,,,,,,,,,,,-51.64134342712253,32.64886667301432,56.589394720659364,-1.137841403597795,1.6963713736735362,2.6033424394161413,-198.21085976967223,194.0821535026771,52.75101399323281,34.85510460980379,-0.538709363436606,-0.7756333242176591,0.05606940649756752,-0.6286884506797259,,,,1,0.7274000279011066,38.79992725212187,low,high,,,63.76966442977225,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
5,04/01/2024,6:07:23 PM,2,2,Matthew Dalquist,dalquma42,Right,Uc san diego,Zach Chamizo,chamiza42,Left,Uc riverside,Windup,1,Top,1,0,1,Fastball,,BallCalled,,,,,,,88.74901974856897,-0.3533898707311567,-0.956434894052828,2286.7370523762384,216.85128586299214,1:15,5.294645201465513,1.309443274804249,5.175742556964249,-17.57068965144618,19.023965246010185,12.488292830633078,3.77358709000961,1.7266132705027222,80.59687988555456,-2.9109806123802975,-2.0098981296212766,0.43408030363945965,,,,,,,,,,,,-6.747762397389101,9.824378529435611,-1.2297482914447837,50.000000000000064,5.2484437198886456,1.7065045275826018,-129.01698760066085,-1.446055442699511,-11.346133294880534,27.44457731191554,-15.654690757143008,UC San Diego,UC Riverside,,,,a0be3bfd-2717-44d8-9f70-9adb7d9a5113,e5af4443-2c74-4f43-aba7-3e03678f8800,88.92577255598748,5.296664530580585,1.314809164687162,-0.37838672388667605,-1.0203076055804932,80.75155793071913,3.7723770915254895,1.7222784645638098,-2.9281982656531116,-2.074988928188112,0.43393498301213423,13.11502094740791,18.228624316893907,-22.72407391505216,74.65478418113827,2109.2310572649917,-883.351964835746,92.23758608683087,-0.7380804227840844,-0.3862936335062312,-0.5531857899615834,,,,,,,,,,,,,,,,,0.9940292206827216,1,,,high,high,22.810694236975646,5.2071966457873735,55.32425937903575,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
6,04/01/2024,6:07:34 PM,2,3,Matthew Dalquist,dalquma42,Right,Uc san diego,Zach Chamizo,chamiza42,Left,Uc riverside,Windup,1,Top,1,1,1,Fastball,,BallCalled,,,,,,,88.17200096324599,-2.0210760132764247,-0.7492001995752294,2337.645467932662,215.28434911295065,1:15,5.291494048364307,1.3994175524827628,5.253803083088135,-17.110159802411527,19.6192281574511,12.265083073957406,1.965890862416681,1.7175922280360005,80.53267334431384,-5.191516795724313,1.5338893831673381,0.43619267502531445,,,,,,,,,,,,-6.677290930874902,10.911886230508257,-1.3397427440602274,50.00000000000009,5.093889290163832,1.2376397253043492,-128.13958563845938,-5.133350803872632,-11.092859338681372,26.68438575396126,-14.046335767955794,UC San Diego,UC Riverside,,,,a0be3bfd-2717-44d8-9f70-9adb7d9a5113,b841d91b-8f36-4351-8e08-4dba2fa0f8c3,88.34270562348054,5.2936547700410275,1.4045149750560146,-2.0477325292915607,-0.8100207595249803,80.68906898700344,1.9644491339152654,1.7126774193764092,-5.209827534358652,1.4682522700553853,0.4360512912780248,12.830756171307067,18.801119824636828,-17.39431808526542,95.26245351043966,2230.7448900144855,-698.8301434686239,95.42699783245078,-0.7789662002823899,-0.29894616316076644,-0.5512194212371985,,,,,,,,,,,,,,,,,0.9961643413880706,1,,,high,medium,4.263791840604185,64.04130640732095,55.24619885291187,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
7,04/01/2024,6:07:47 PM,2,4,Matthew Dalquist,dalquma42,Right,Uc san diego,Zach Chamizo,chamiza42,Left,Uc riverside,Windup,1,Top,1,2,1,Fastball,,BallCalled,,,,,,,88.35140069923368,-1.444151464010999,-0.14305310097302928,2347.712418450127,216.34921379079339,1:15,5.301600864689802,1.339692125550677,5.202813508713226,-17.197525990972267,19.465540412758372,12.814637152734857,2.7793111129805985,2.6522143074330065,80.10537872707954,-3.9541323024013293,-1.123400251190742,0.4357986846879044,,,,,,,,,,,,-6.787413464985014,10.65831785749372,-1.335949921517554,50.0,5.155328328926377,-0.14118872949531047,-128.4277102183968,-3.8575424097452746,-11.31326868183393,27.096212638548966,-14.408752946821226,UC San Diego,UC Riverside,,,,a0be3bfd-2717-44d8-9f70-9adb7d9a5113,4df2b472-2d57-4791-9e15-a0ec46e0592d,88.52062902494659,5.303664316534001,1.3447470911078172,-1.470381625374776,-0.2052683334753345,80.25416846573746,2.7780621515709507,2.64800709575464,-3.9721859473488506,-1.1874350517487424,0.43565762223160165,13.393594142374528,18.605772208909144,-16.04536214533542,89.42512260758387,2256.2529771875393,-648.9037699669416,96.10431667252645,-0.774042887236965,-0.2763983207088557,-0.569615288617842,,,,,,,,,,,,,,,,,0.996591677754419,1,,,high,high,9.517389653174472,-58.99430141052562,55.29718842728678,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
8,04/01/2024,6:08:00 PM,2,5,Matthew Dalquist,dalquma42,Right,Uc san diego,Zach Chamizo,chamiza42,Left,Uc riverside,Windup,1,Top,1,3,1,Fastball,,Foul,,,,,,,87.22813698279064,-2.585072260307392,-2.362414311331092,2259.525703562929,212.6007483282648,1:00,5.292546851071403,1.288650325102929,5.402053573349408,-17.260810367870977,20.079052305773406,11.123724470770862,1.8091740584416691,0.2320027618788697,79.33892477163508,-4.832568852802752,-2.887176352027247,0.4398026892806977,,,,,,,,,,,,-6.544158100041729,11.35098853424987,-1.086033032745201,49.99999999999997,5.050237270352997,4.84153182294109,-126.66807581987977,-6.319920678171497,-10.642568696380842,25.639494234435887,-13.71427624299118,UC San Diego,UC Riverside,,,,a0be3bfd-2717-44d8-9f70-9adb7d9a5113,1183cd3c-2b87-4606-8519-d92922e60671,87.39556913457271,5.294587572931842,1.2931215867288794,-2.610809823162984,-2.4170581538972966,79.48782840807965,1.8079144521891997,0.22820992113435482,-4.850255836021119,-2.943836241706785,0.4396632119045384,11.631107219015162,19.302077545810416,-18.617571604307003,90.49741388354849,2141.2859556620538,-721.3534925028042,94.76705453208925,-0.7983606538678512,-0.31924996089459806,-0.5105876308964942,,,,,,,,,,,,,,,,,0.9957736233716741,1,,,high,high,8.552327504806263,-60.26233570056126,55.09794836265059,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
9,04/01/2024,6:08:35 PM,2,6,Matthew Dalquist,dalquma42,Right,Uc san diego,Zach Chamizo,chamiza42,Left,Uc riverside,Windup,1,Top,1,3,2,Changeup,,InPlay,,GroundBall,Single,0,0,,83.87350633166747,-2.109304331275839,-3.350115723617307,2286.4491802292164,238.7778829668846,2:00,5.062281103512446,1.5072884421630925,5.513407832924563,-27.509360068788563,12.767899424442763,16.488798981412263,1.0308627577083815,0.012359840320788412,76.61613909732344,-6.658190358938685,-2.733922017337271,0.45677410881296876,,,,,,,,,,,,-9.70150169214082,7.378391933437998,-1.2263470963202943,50.000000000000036,4.860019963360053,6.589519365313935,-121.74895633259271,-5.388273161843786,-14.566376038597571,23.8290586774904,-21.095720181627534,UC San Diego,UC Riverside,,,,a0be3bfd-2717-44d8-9f70-9adb7d9a5113,008768bc-60be-41e4-9fd4-d2337d8a7df7,84.02247629117686,5.061888912135827,1.5147888844387338,-2.1054272475985396,-3.440312065576581,76.73987517429082,1.0316318753566152,0.006341402672017613,-6.645381688966795,-2.8245394994678024,0.4566437176227887,17.328264260677738,11.629984670969858,-28.801617521050098,18.644454213854665,2003.599587787661,-1101.5618664369106,87.62930771051734,-0.45423278573408765,-0.481778416927893,-0.7493744947265711,,,,,,,,,,,,,,,,,0.9946034314968626,1,,,high,high,73.2199912075308,0.6079558948029458,54.98659410307544,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
10,04/01/2024,6:09:15 PM,3,1,Matthew Dalquist,dalquma42,Right,Uc san diego,Cole Koniarsky,koniaco42,Right,Uc riverside,Stretch,1,Top,1,0,0,Curveball,,StrikeCalled,,,,,,,71.86471843593195,1.568830036907315,-1.0221604884936746,2488.1534784965816,44.44830187961208,7:30,5.3002980138754605,1.0910314176653133,4.9802327073376995,-65.88844209641528,-9.58183818917503,-14.123831130244728,1.566521783225325,-0.5967208308130666,66.28767743917325,-10.070484598087697,-6.0199856402027025,0.5400714124496698,,,,,,,,,,,,7.079677987904031,-5.495312167469901,-0.981362721220096,50.00000000000005,5.3993184640422625,2.286490297056058,-104.3377964600263,0.8758883330143292,7.729031731459888,19.136900214431424,-38.17339619317908,UC San Diego,UC Riverside,,,,a0be3bfd-2717-44d8-9f70-9adb7d9a5113,1d3d919c-f586-4476-b668-a92dd6c5b066,71.93354794383372,5.286816354032603,1.0917333453934526,1.7296064707820016,-1.0307868184371436,66.31228475183833,1.5772203492544805,-0.5971654085178315,-9.913733853427852,-6.026494366093694,0.53999414319038,-14.0403540482052,-13.069333416553057,-45.18706877372593,87.83496583936326,1753.6364682470903,-1765.1251711390073,70.47943317816114,0.5031404035858053,-0.7094116928050395,0.49354309273963215,,,,,,,,,,,,,,,,,0.9349598520311171,1,,,high,high,10.948530744573006,47.03922231413238,55.5197692286623,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
