PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,04/14/2024,1:09:13 PM,3,2,Matthew Dalquist,dalquma42,Right,Uc san diego,Caden Kendle,kendlca42,Right,Uc irvine,Stretch,1,Top,1,1,0,Slider,,BallCalled,,,,,,,81.53199936060389,-1.0888558157520123,-1.2374693091622273,2276.789468362343,99.14054774745476,9:15,5.186244557029025,1.2569028118165801,4.8026370559859535,-39.1798651813519,4.17787362408346,-4.3453868917523595,0.9603666467436202,0.11633349234943956,75.21525135030797,-8.162149143170591,-4.5246046365956305,0.47655216983441073,,,,,,,,,,,,1.9336189334792222,1.9442269347339733,-1.1301148252954225,50.0,5.043671319205038,2.7128382926143164,-118.39966739060313,-3.681690380022975,2.7316342073803854,23.619062251928842,-29.427429396326154,UC San Diego,UC Irvine,,,,ab2ca6a3-59c2-4bdd-a639-16fadb11d3ff,c100a667-2d7e-4613-90da-7a76084ecb83,81.68212220604784,5.180374229221201,1.260053278792544,-1.0200085468218123,-1.2753350849489098,75.33690700806413,0.9653650625241919,0.11414825616249992,-8.087589135815751,-4.556948204793454,0.47640381656925895,-3.9825106854889314,2.1137274863148914,-83.99046673359044,78.07081736566673,238.3660239460091,-2264.2773509165904,10.469392416746457,-0.016631343044098298,-0.9945044908105831,0.10336448222737027,,,,,,,,,,,,,,,,,0.9952234176598023,1,,,high,high,19.73626437090003,44.29006239968544,55.69736488001405,Bradlee Preap,preapbr43,Uc san diego,2022-11
2,04/14/2024,1:06:02 PM,1,1,Matthew Dalquist,dalquma42,Right,Uc san diego,Woody Hadeen,hadeewo42,Switch,Uc irvine,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,89.53921389550564,-1.37135244871544,-0.7290273285800619,2175.7731849174115,214.3413906372085,1:15,5.325073814454481,1.3908450008946927,5.258188845016083,-16.460575656530857,19.40346491321381,11.656526865615804,2.9578629446993716,1.8976950321530475,81.38489451165646,-3.754058025091488,-1.8236216236051652,0.42948596556117963,,,,,,,,,,,,-6.271427173833777,10.3945226380994,-1.3324985769060629,50.00000000000006,5.187493637549886,1.2396496082852908,-130.164644599759,-3.7190530389559724,-10.742946284278613,27.7139904454555,-14.36824633634568,UC San Diego,UC Irvine,,,,ab2ca6a3-59c2-4bdd-a639-16fadb11d3ff,0cb1f249-40ca-4127-a9b4-b7783e51004d,89.71570337020862,5.327186134304263,1.3957342088267493,-1.3970912931350776,-0.7866384194009893,81.53744484080399,2.956636198444239,1.8938767873247768,-3.771774555742271,-1.8816373982356003,0.42934325825896724,12.222763518787682,18.656274374489705,-18.59175937418125,91.50560358152605,2062.22888151795,-693.6865231780728,94.78142739387738,-0.7826017025105321,-0.3188229949641575,-0.5346835261252226,,,,,,,,,,,,,,,,,0.994748589668971,1,,,high,high,7.644956776626822,48.15159758982289,55.24181309098392,Bradlee Preap,preapbr43,Uc san diego,2022-11
3,04/14/2024,1:06:13 PM,1,2,Matthew Dalquist,dalquma42,Right,Uc san diego,Woody Hadeen,hadeewo42,Switch,Uc irvine,,1,Top,0,1,0,Fastball,,StrikeCalled,,,,,,,87.59965389373036,-1.8335268480055362,-1.983835550324116,2130.045414357654,215.634408129541,1:15,5.367291001232597,1.282914269807539,5.314031998766145,-18.33599887942824,19.053315447687574,11.690719730139904,2.398749568000528,0.712258396518088,79.8149636405448,-4.600491387335708,-2.7876607839820355,0.43858753980242565,,,,,,,,,,,,-6.632589266247735,10.33370137168165,-1.1114890669311088,49.999999999999936,5.187951906805839,4.004012471853667,-127.27461928846925,-4.728667002708331,-10.876993331106096,26.17608608708121,-15.227485221249093,UC San Diego,UC Irvine,,,,ab2ca6a3-59c2-4bdd-a639-16fadb11d3ff,37de1841-0127-48e0-8c38-91c0eefafb62,87.77000038238896,5.368960266633342,1.2877306141086762,-1.8545916181119504,-2.042130465016343,79.96424027874858,2.3978102656797575,0.708290836194886,-4.613503089782811,-2.8471619186613704,0.4384454873665494,12.273861094557143,18.26741591328927,-21.85763056852627,90.44969481830518,1976.9203223400484,-793.0192345365837,92.81118181868518,-0.7543238353916496,-0.37230156183112656,-0.5407283036961679,,,,,,,,,,,,,,,,,0.9934854970474226,1,,,high,high,8.595274663525363,47.497364452750844,55.18596993723386,Bradlee Preap,preapbr43,Uc san diego,2022-11
4,04/14/2024,1:06:24 PM,1,3,Matthew Dalquist,dalquma42,Right,Uc san diego,Woody Hadeen,hadeewo42,Switch,Uc irvine,,1,Top,0,1,1,Changeup,,BallCalled,,,,,,,83.43019341086156,-1.9155678496084134,-3.563640174845817,2038.2882441587483,242.39609656768567,2:00,5.04452130851768,1.6173217983566397,5.350137937738075,-29.326843294818055,11.652440176615485,17.30577972122146,0.9788024981174924,-0.010433125236915251,76.70725647372552,-6.837464170677152,-2.913051102515869,0.4607376497869562,,,,,,,,,,,,-10.144013576687449,6.69634743815019,-1.3087938432872421,49.99999999999997,4.851285413674102,6.963695261317708,-121.05991926805034,-5.032212754802002,-15.056615735950388,23.593326744997764,-22.234755888448813,UC San Diego,UC Irvine,,,,ab2ca6a3-59c2-4bdd-a639-16fadb11d3ff,eb0e398f-6826-475c-a6d2-8957be0ad612,83.5766687017531,5.043443565112292,1.6249117130500987,-1.9034796909427125,-3.654400610021947,76.82818841974368,0.9800830387648699,-0.016483731610817363,-6.817070817078407,-3.004025361896982,0.4606082872959719,18.15377288824747,10.412892276214627,-24.081267514149246,13.833345244716618,1860.8911832867575,-831.6868222121619,91.29676279199623,-0.4230294016948074,-0.4080319967480456,-0.8090463614228397,,,,,,,,,,,,,,,,,0.9972779076231255,1,,,high,high,77.54998927975502,0.19940522814054834,55.14986399826193,Bradlee Preap,preapbr43,Uc san diego,2022-11
5,04/14/2024,1:07:52 PM,2,3,Matthew Dalquist,dalquma42,Right,Uc san diego,Jo Oyama,oyamajo43,Left,Uc irvine,,1,Top,0,0,2,Changeup,,BallCalled,,,,,,,83.51491083209301,0.08566682990293185,-1.9600869325989645,2273.4472379934346,244.00729714725756,2:15,4.986741694306347,1.7214804318614003,5.3637181602879265,-30.426311859254564,10.390919837672595,16.635934178747895,2.9203071763835178,1.4624567211689772,76.53005676949844,-4.678980420415252,-2.2902184013952205,0.4598257583701153,,,,,,,,,,,,-9.369043243276925,5.478310205395119,-1.557339337530151,49.99999999999991,4.97313754155717,3.6019361356906465,-121.3921984973888,-0.8289024045157656,-13.945419001844398,24.31669854690758,-24.01981982607903,UC San Diego,UC Irvine,,,,ab2ca6a3-59c2-4bdd-a639-16fadb11d3ff,6428d7b5-4eb5-43b4-9c73-3058ad828023,83.66598914032743,4.985677510686943,1.7295239538136031,0.09751919166212539,-2.057403664873092,76.65572338254987,2.921511070950067,1.4560901235595467,-4.659600482552647,-2.386812420739787,0.45968874674941923,17.541099179095472,9.04773436642639,-34.22029142657218,18.044805029374604,1879.8713630555962,-1278.5327537077303,82.68814563362324,-0.3623863164347249,-0.5623762594271486,-0.7432422892257946,,,,,,,,,,,,,,,,,0.9967498426158344,1,,,high,high,73.75967547356285,4.373503148924398,55.13628377571207,Bradlee Preap,preapbr43,Uc san diego,2022-11
6,04/14/2024,1:10:10 PM,4,1,Matthew Dalquist,dalquma42,Right,Uc san diego,Tony Martinez,martito54,Left,Uc irvine,Stretch,1,Top,1,0,0,Curveball,,InPlay,,GroundBall,Out,1,0,,72.12299586145903,2.591415296173358,0.11379253330527807,2314.5627118629277,39.4736895546596,7:15,5.293401972246933,1.3604159079271347,4.908524905468765,-67.81803310415117,-11.77687668680445,-13.12388400350904,2.4042185463961347,0.8700360788433705,66.00933382606172,-9.39480943331315,-5.017415627910348,0.5387968731211287,82.40488483977016,-19.779006986742647,47.53773126102117,2646.011447576244,-86.88330774980108,-67.4632553098551,33.68869773417894,8.403451793464997,,30.411288536603717,0.06302488921281163,6.883579367165457,-6.928831041893607,-1.3608713717923338,49.999999999999986,5.491438726407019,0.19273763380424816,-104.66070911645541,2.666800293131222,7.572391425820503,19.021203674551362,-39.7962208393547,UC San Diego,UC Irvine,,,,ab2ca6a3-59c2-4bdd-a639-16fadb11d3ff,c60b88e1-adb2-40f3-8df8-6294062ec6c2,72.18688850253022,5.278959287522274,1.3609351272744257,2.761341170252503,0.1074544285168149,66.02543759459984,2.41547763272221,0.8696102455186768,-9.230493325915047,-5.02363317827213,0.5387317084703479,-13.062282235072487,-15.26642849120154,-40.5144738147405,96.54050512344966,1759.627499199229,-1503.63280464618,76.02418764376246,0.586843318067006,-0.6496401229223758,0.4833038699715816,57.20547341841537,52.34989700877478,-27.885249498640455,-0.9669719707012725,2.415071524757057,2.588001579930431,4.253858294656637,7.247254076825994,0.024674912873295027,0.0619768968843193,-0.008256109881624507,0.8753849593072205,0.12224935778310102,0.4677138735811834,,,0.9954103290080337,1,0.9949016303784528,44.19266247083253,high,high,3.113545388895318,45.34077793363917,55.59147703053124,Bradlee Preap,preapbr43,Uc san diego,2022-11
7,04/14/2024,1:08:10 PM,2,4,Matthew Dalquist,dalquma42,Right,Uc san diego,Jo Oyama,oyamajo43,Left,Uc irvine,,1,Top,0,1,2,Fastball,,Foul,,,,,,,90.30825010048437,-2.404351376722969,-2.362921693789017,2256.1707350078673,214.00430964907616,1:15,5.291592334870031,1.2723383743348804,5.253944284250634,-15.1449988042483,19.84985222029577,11.67066582901912,2.0247790648565087,0.3659079710183028,82.61835736375693,-4.5016804891311235,-3.0739330919446712,0.42605364163700943,,,,,,,,,,,,-6.717327716820252,10.949993781364352,-1.0642469381112238,50.000000000000036,5.059812787998269,4.989897249970452,-131.12350243812145,-6.078516442503733,-11.700708503059484,27.59667266211485,-13.100589015476109,UC San Diego,UC Irvine,,,,ab2ca6a3-59c2-4bdd-a639-16fadb11d3ff,93ade09b-e32b-4c9f-9310-76c23c7e4af3,90.48004538503994,5.29380628673295,1.2769097330569852,-2.4319334380631257,-2.4184854469472548,82.7702507379489,2.02332568283074,0.3621122979564382,-4.522416743010235,-3.1308373778205487,0.42591974561212864,12.229357312333416,19.21538843410792,-18.412465289735113,96.90160501876723,2140.67129854001,-712.6238679085668,94.88073155653912,-0.7865570035866721,-0.31585547000106884,-0.5306254820296136,,,,,,,,,,,,,,,,,0.9975006473810266,1,,,high,high,2.788555483110009,22.824026414606188,55.24605765174937,Bradlee Preap,preapbr43,Uc san diego,2022-11
8,04/14/2024,1:11:22 PM,5,3,Matthew Dalquist,dalquma42,Right,Uc san diego,Myles Smith,smithmy46,Left,Uc irvine,Stretch,1,Top,2,1,1,Curveball,,BallCalled,,,,,,,72.77095603088736,3.1176061311620575,0.8230785670057646,2216.348996226038,46.32562194370885,7:30,5.325673635665781,1.3571727484330212,4.846993374388332,-62.662816223258936,-7.9822290395321005,-12.942030355671942,3.15858500420755,1.7019890556992643,66.79523042409019,-8.016667667837561,-4.489844554789506,0.5344911803705057,,,,,,,,,,,,7.047135967158203,-5.611803848039987,-1.4275542737267504,50.000000000000036,5.580435369131857,-1.1098993053117883,-105.54678896110252,3.7543864915897105,7.898474372236821,19.042217113970118,-38.463794679940335,UC San Diego,UC Irvine,,,,ab2ca6a3-59c2-4bdd-a639-16fadb11d3ff,033de6bf-2d33-4916-9c10-1d57d88abe7a,72.85388038890459,5.31248996487829,1.357878281534417,3.272928163501074,0.8144526130487313,66.83484630705023,3.168806566270657,1.7015405604211749,-7.864325927933428,-4.496454719989859,0.5344043506495149,-12.841958168944561,-11.361568882977268,-46.57194477129681,65.00439641425247,1523.6140348998176,-1609.5971998386624,68.74431948642575,0.47472011290424426,-0.7262381522853385,0.4972111830694872,,,,,,,,,,,,,,,,,0.997082208720131,1,,,high,high,31.49604322717284,-85.73422390708956,55.65300856161167,Bradlee Preap,preapbr43,Uc san diego,2022-11
9,04/14/2024,1:08:32 PM,2,5,Matthew Dalquist,dalquma42,Right,Uc san diego,Jo Oyama,oyamajo43,Left,Uc irvine,Stretch,1,Top,0,1,2,Slider,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,82.37510987386598,0.0783019630503906,0.17557096479192963,2441.3047718598477,154.8018376254648,11:15,5.116706256355841,1.5246234208340368,4.996904870437392,-36.533947055902786,6.017503498663352,-3.189866297472608,1.9273262953910157,1.6253850534557854,74.7575002837012,-6.967338893678532,-3.7569995765465336,0.4694925521734648,,,,,,,,,,,,1.7186799330929248,3.123979765461191,-1.5389616864888431,50.00000000000004,5.0953092018943975,-0.256502318830622,-119.72183701360268,-1.1003675644225566,2.48521212383633,23.91635522659874,-27.656773135479085,UC San Diego,UC Irvine,,,,ab2ca6a3-59c2-4bdd-a639-16fadb11d3ff,c5fbdd88-4581-4e7b-92dc-43c2e502aa42,82.53629171859657,5.112450180636541,1.5276504550513978,0.1293031130718134,0.1382650957592861,74.89071438403992,1.9312492110281834,1.6232015582153536,-6.907990051660516,-3.7895550671589757,0.4693366637379984,-2.8379208076054714,4.187513769927783,-79.52468517457565,82.96740265365251,443.8581936532952,-2400.616356903472,18.18118732120254,-0.16451078405376532,-0.9833333324763961,0.07740645432314404,,,,,,,,,,,,,,,,,0.997509308842419,1,,,high,high,15.329337611712841,-19.63674953965784,55.503097065562606,Bradlee Preap,preapbr43,Uc san diego,2022-11
10,04/14/2024,1:11:37 PM,5,3,Matthew Dalquist,dalquma42,Right,Uc san diego,Myles Smith,smithmy46,Left,Uc irvine,Stretch,1,Top,2,2,1,Fastball,,Foul,,,,,,,90.36252047982084,-2.313848467120931,-1.4822184950940704,2253.0892150104064,217.94263054781624,1:15,5.299554076574699,1.2924135378583577,5.248699252881084,-16.86852445628151,18.125377493469887,12.252577562379217,2.2060380492798615,0.7646068078012949,82.65799134281777,-4.2114610341134195,-3.120480496219038,0.42576279453404486,,,,,,,,,,,,-6.872450737106567,10.20074245008952,-1.1654724953234927,49.99999999999995,5.0749919493600455,2.9478599559472567,-131.26846424386386,-5.923662669605997,-11.986828264343663,27.886706344250037,-14.38206349611451,UC San Diego,UC Irvine,,,,ab2ca6a3-59c2-4bdd-a639-16fadb11d3ff,4ca8940d-668b-4cbd-b7b2-7b7e782c1ea8,90.53390870557915,5.301440163596928,1.2975093934963993,-2.337346035947711,-1.543546109251377,82.80965509004534,2.204812728981122,0.7604406746442317,-4.228854198686785,-3.183218670287008,0.4256281758861878,12.822988632297898,17.34707840207562,-22.033188149327305,88.54425869857427,2088.5386962767725,-845.2319947509851,92.69667096902445,-0.7310308007188433,-0.3751435980075388,-0.5699660071217624,,,,,,,,,,,,,,,,,0.997107948434709,1,,,high,high,10.31016717128316,85.88319299241489,55.251302683118915,Bradlee Preap,preapbr43,Uc san diego,2022-11
