,Pitcher,Batter,BatterTeam,TaggedPitchType,PitchCall,PlayResult,RelSpeed,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide
0,Matthew  Dalquist,Tucker  Moore,Mizzou 2024,Fastball,BallCalled,,89.14818484168183,20.48808260918815,11.018880619793196,1.4835769956773304,0.1592239710668354
1,Matthew  Dalquist,Tucker  Moore,Mizzou 2024,Fastball,Foul,,88.62655971655683,20.41732278588744,10.493861572119124,2.2041336471804085,-0.1804907159195801
2,Matthew  Dalquist,Tucker  Moore,Mizzou 2024,Slider,StrikeCalled,,82.39696759539365,7.188146529716008,-2.0731117379852213,2.008283919355828,-0.5026423068151953
3,Matthew  Dalquist,Tucker  Moore,Mizzou 2024,Curveball,BallCalled,,73.88571441550334,-6.242390361751866,-12.006254739430087,1.122540720666412,-1.166041278092561
4,Matthew  Dalquist,Tucker  Moore,Mizzou 2024,Slider,InPlay,Out,82.24886248983567,5.784824122308834,-4.6498653359343205,2.789356436649437,-0.6752754419562615
5,Matthew  Dalquist,Trevor  Austin,Mizzou 2024,Fastball,Foul,,89.05901574108746,18.719385605379703,13.20253590698452,1.517615559674558,0.0962324779583499
6,Matthew  Dalquist,Trevor  Austin,Mizzou 2024,Curveball,BallCalled,,71.92690678907107,-10.520619328392094,-14.777498917175295,1.1899010321726748,0.4166214807750946
7,Matthew  Dalquist,Trevor  Austin,Mizzou 2024,Fastball,StrikeCalled,,88.44626462901876,20.12319318653096,11.441501103317735,2.916775906843234,-0.5077816831857838
8,Matthew  Dalquist,Trevor  Austin,Mizzou 2024,Slider,InPlay,Out,81.71857965157157,4.486245590043197,-6.29466566780836,2.643744279765784,-0.293687867238196
9,Matthew  Dalquist,Thomas  Curry,Mizzou 2024,Changeup,StrikeSwinging,,82.51818378461923,11.41437604186105,18.443156817683025,1.5518576689739063,0.4823333350422296
10,Matthew  Dalquist,Thomas  Curry,Mizzou 2024,Fastball,InPlay,Out,88.60315068945641,18.60228357446133,11.359752090611511,2.591655384666756,0.8411344421068914
19,Matthew  Dalquist,Jackson  Lovich,Mizzou 2024,Fastball,StrikeCalled,,88.91256358859643,19.59033932477822,12.037315216906482,2.519049023964597,0.241479625603809
20,Matthew  Dalquist,Jackson  Lovich,Mizzou 2024,Fastball,StrikeCalled,,89.0905436581926,20.05541597854947,10.917091895657784,2.5862639831961576,-0.7704511678182937
21,Matthew  Dalquist,Jackson  Lovich,Mizzou 2024,Fastball,BallCalled,,90.8837463301802,19.85933605345212,11.005025267900027,1.6377060590113148,-1.0588194821168202
22,Matthew  Dalquist,Jackson  Lovich,Mizzou 2024,Slider,BallCalled,,83.20389000402128,5.497805167188446,-6.140963772413795,3.1062881138043146,-1.5633695944869577
23,Matthew  Dalquist,Jackson  Lovich,Mizzou 2024,Fastball,Foul,,90.17078527610389,19.976894959995224,11.017600116570158,2.493458854362854,0.2543078804749188
24,Matthew  Dalquist,Jackson  Lovich,Mizzou 2024,Fastball,InPlay,Out,88.36003807512071,18.74408195065553,12.056104408848508,2.836485509677797,0.6096129588866553
25,Matthew  Dalquist,Danny  Corona,Mizzou 2024,Fastball,StrikeCalled,,90.65432733778673,18.77094315055093,12.122724404901566,2.1432723629364854,0.1528216804468655
26,Matthew  Dalquist,Danny  Corona,Mizzou 2024,Fastball,BallCalled,,85.93970811078076,10.053610980232143,18.424072986282184,2.853137815813256,2.4606511471460237
27,Matthew  Dalquist,Danny  Corona,Mizzou 2024,Changeup,BallCalled,,84.49096084124595,12.356083896901062,17.55395787468216,1.6153217852411248,2.0552183689254235
28,Matthew  Dalquist,Danny  Corona,Mizzou 2024,Fastball,BallCalled,,90.13170481768742,19.256342035174463,12.167240412341108,4.199348074919751,1.2248791676923236
29,Matthew  Dalquist,Danny  Corona,Mizzou 2024,Fastball,Foul,,88.39930715777238,18.95353299651726,11.389768205048652,2.83311133989344,0.784729280694862
30,Matthew  Dalquist,Danny  Corona,Mizzou 2024,Curveball,BallCalled,,76.1951673493204,-4.967275549756081,-13.550662382648843,1.8964036645126692,-0.6548655562477597
31,Matthew  Dalquist,Jeric  Curtis,Mizzou 2024,Fastball,StrikeCalled,,88.26020684466204,20.021674636780247,10.577564134952985,1.6460223685166486,0.0166512920990458
32,Matthew  Dalquist,Jeric  Curtis,Mizzou 2024,Curveball,BallCalled,,74.06933402960021,-7.736155782648069,-15.412401827916709,1.408063724774152,-1.0064059147495366
33,Matthew  Dalquist,Jeric  Curtis,Mizzou 2024,Fastball,InPlay,Out,88.74814479503183,20.169206518928465,10.123412913725655,3.18670097444768,-0.2776491995407894
34,Matthew  Dalquist,Brock  Daniels,Mizzou 2024,Fastball,StrikeSwinging,,88.78250790791114,20.179522646868524,10.217375992836336,3.0934494870075366,-0.3291880325038811
35,Matthew  Dalquist,Brock  Daniels,Mizzou 2024,Changeup,BallCalled,,84.20758832680255,12.286935491749972,18.523338126797245,1.2707912836837307,-0.6753888856416825
36,Matthew  Dalquist,Brock  Daniels,Mizzou 2024,Changeup,InPlay,Single,83.42971543503705,10.584516556831977,18.11278595348379,1.658459423062565,0.5584771129619777
