PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,03/10/2024,1:06:29 PM,1,1,Matthew Dalquist,dalquma42,Right,Uc san diego,Chase Graves,gravech51,Right,Pacific,Windup,1,Top,0,0,0,Fastball,,InPlay,,GroundBall,Out,1,0,,88.23202070163939,-2.095547406522557,-1.723832677406146,2273.6145044482155,216.04935257739072,1:15,5.2810974655551925,1.0877443716104969,5.290407816655792,-16.978925065306328,19.653927656640576,12.69941678045988,2.133890048999777,0.13279234753619315,80.12427757840898,-4.452412353109579,-3.0030120557871363,0.4356190789169231,,,,,,,,,,,,-7.183344741548286,10.958225910650878,-0.9400924744097781,49.99999999999999,5.078177177111811,3.406524800022042,-128.18873808151923,-5.296126961267789,-11.95175486784572,26.51746117731332,-13.941591784963752,UC San Diego,Pacific,,,,37df9c10-68f1-433d-b207-2aa1f7e90e3a,1553b046-83e8-4ec9-9c53-57ae2fe93d03,88.40030477089823,5.283110772593403,1.0927025577762037,-2.120734933776629,-1.7839904401647986,80.27147604812794,2.1327041957745316,0.12871821626714286,-4.4692163150960855,-3.0644646611765203,0.43548177383666825,13.259361412537604,18.85410403195974,-13.452518967501742,99.46902958962416,2211.233439364121,-528.932501814007,97.25630422562624,-0.7863273310972924,-0.23263948254164302,-0.5723357402191179,,,,,,,,,,,,,,,,,0.9961991894695951,1,,,high,high,0.47787336933794033,18.380283039114655,55.20959411934421,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
2,03/10/2024,1:06:57 PM,2,1,Matthew Dalquist,dalquma42,Right,Uc san diego,Gabe Camacho,camacga42,Left,Pacific,Windup,1,Top,1,0,0,Fastball,,StrikeCalled,,,,,,,88.00632559195009,-0.7770951293650324,-1.3459997061987157,2314.954636229003,217.2643519205627,1:15,5.3139407874639755,1.4009928282875086,5.331415448087988,-17.601509155654256,19.15875457333366,13.007101709354307,3.2957013346840975,1.0385763633580003,79.71124645040513,-3.5249057178825804,-3.172466246833263,0.43637597450176124,,,,,,,,,,,,-7.259589375298251,10.352063199399813,-1.2887600033943052,49.999999999999936,5.231352277837597,2.548423004208375,-127.9498673146549,-2.355653746824202,-12.01436697260825,26.813947757578017,-15.04174639755517,UC San Diego,Pacific,,,,37df9c10-68f1-433d-b207-2aa1f7e90e3a,97098a24-dc2a-4148-a622-f80a97f45c7f,88.17718333074954,5.315963090296774,1.4062614683525028,-0.8024567203942583,-1.4097944786168803,79.86008469772685,3.2945196418637015,1.0342898014641597,-3.54177258288717,-3.2373523349771482,0.4362338692296077,13.599450613298567,18.298164296258,-16.649127883311905,97.41790268087213,2217.9053946344156,-663.2575881584105,95.80772598841601,-0.7624861307699211,-0.28650997206530093,-0.5801094175159159,,,,,,,,,,,,,,,,,0.9966349905591855,1,,,high,high,2.3238875872149336,-73.96825881687327,55.168586487912016,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
3,03/10/2024,1:07:07 PM,2,2,Matthew Dalquist,dalquma42,Right,Uc san diego,Gabe Camacho,camacga42,Left,Pacific,Windup,1,Top,1,0,1,Changeup,,BallCalled,,,,,,,82.4997259086034,1.50993473629746,-1.9788669492431876,,,,4.321229420018563,3.611855324727143,6.0000001920000035,,,,2.4732466044353654,1.7777473709372587,75.2992905459067,-5.83061876040061,-1.9788669492431779,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Pacific,,,,37df9c10-68f1-433d-b207-2aa1f7e90e3a,68545c89-52eb-4826-8c6e-0d915e271b86,82.6574587224895,4.315742168244222,3.6118553247271423,1.5754799197588278,-1.9788669492431785,75.41773412206193,2.478048913892344,1.7777473709372587,-5.757034633034025,-1.9788669492431785,0.4600871808914924,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.500001743999995,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
4,03/10/2024,1:07:20 PM,2,3,Matthew Dalquist,dalquma42,Right,Uc san diego,Gabe Camacho,camacga42,Left,Pacific,Windup,1,Top,1,1,1,Changeup,,Foul,,,,,,,82.77716050504671,-0.44183571585702447,-3.12978217318842,2278.8180313137786,241.30574676656823,2:00,5.067944106151888,1.662774552052149,5.379900775625839,-29.598760940023492,11.940497988539168,17.12172885440424,1.9662619002401758,0.8713999723012591,75.8489964945493,-6.129903208556519,-2.5016827481580033,0.46387492229313715,,,,,,,,,,,,-9.947432223043112,6.448544191370792,-1.3947376785528118,50.00000000000001,5.007781914801068,6.011393324750827,-120.22516556896863,-1.900833832102497,-14.546509352748641,23.499706658395723,-22.74409758551361,UC San Diego,Pacific,,,,37df9c10-68f1-433d-b207-2aa1f7e90e3a,ec5ab43f-4284-4c9a-bda1-c6b1246d08bc,82.92694926110512,5.067210767047356,1.6706619044552111,-0.43397216557393226,-3.225402475291732,75.97199558379836,1.967317693584926,0.8650894923641569,-6.112791391660478,-2.596815089435925,0.4637400505911214,18.013686127691983,10.677240600519335,-29.902470182600915,22.71058309476358,1975.4509610551008,-1136.0480272890245,86.68752545881071,-0.41621759876967,-0.4985251177050205,-0.7604180544224377,,,,,,,,,,,,,,,,,0.9941438694570941,1,,,high,high,69.56047521471275,5.607319904066387,55.12010116037416,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
5,03/10/2024,1:07:38 PM,2,4,Matthew Dalquist,dalquma42,Right,Uc san diego,Gabe Camacho,camacga42,Left,Pacific,Windup,1,Top,1,1,2,Slider,,Foul,,,,,,,82.28508108937307,-0.26126791226188306,-0.6574372781898304,2657.0637827287082,121.39286335191677,10:00,5.173497353860233,1.3179608666043665,5.045027805279248,-38.069477022528325,4.523252160085271,-4.95183699040647,1.8139870587890863,0.7151227380996483,76.37758427763731,-6.8568715118182695,-4.116423422596984,0.4697202213878199,78.09831775983402,42.54416000832319,-47.86986738161292,,-81.32304428959175,74.07133364170123,70.60813016217631,272.60774340211606,,-47.789967367062,4.305088974734965,2.4032717859417945,2.445424212766213,-1.2515089302244469,50.000000000000036,5.1189732236674175,1.5421044134217894,-119.58669944616409,-1.8511759901195441,3.4653877626514435,23.980237650006853,-28.647880306693683,UC San Diego,Pacific,,,,37df9c10-68f1-433d-b207-2aa1f7e90e3a,e94309ff-79cb-4813-8f46-c0e0b8fedd35,82.44077324380213,5.168391983394704,1.3207183340888176,-0.20044214669860697,-0.6911971977971224,76.5084159116659,1.8183421423946329,0.7132927544028193,-6.791112816975619,-4.143659125014075,0.4695704276739757,-4.632561571594733,2.585769897641707,-80.88742200945306,78.44295353955788,420.81198581349827,-2623.5291532750866,15.837481529379756,-0.0824979656993419,-0.9873790649394262,0.1351912266932093,-42.67257835349149,38.59841736849485,52.806822193998855,-0.9289229816604272,1.7563462873680609,2.2027581880500837,-201.91700209360567,183.15159302699175,,,,,,,,,0.9965755143938458,1,,38.18525715815295,high,high,19.40134181439787,-29.06591794965626,55.45497413072075,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
6,03/10/2024,1:08:00 PM,2,5,Matthew Dalquist,dalquma42,Right,Uc san diego,Gabe Camacho,camacga42,Left,Pacific,Windup,1,Top,1,1,2,Fastball,,Foul,,,,,,,89.84043406102744,-1.4232778309477652,-2.015681209098396,2273.610329918583,210.42669743352025,1:00,5.266741542976262,1.225519623825571,5.255719929571222,-15.235469196832394,20.52965748590893,10.572642032780115,2.9380229409946685,0.617826316796776,81.5680196705899,-3.6027264385054307,-2.9212028220235595,0.4281202244663567,,,,,,,,,,,,-6.044302198641192,10.990318903816547,-1.0485109785340376,49.999999999999986,5.125232469698379,4.216187307386664,-130.53864628195103,-3.8017532733389023,-10.423501222919002,27.626322004688735,-13.2210590224317,UC San Diego,Pacific,,,,37df9c10-68f1-433d-b207-2aa1f7e90e3a,4183fcd1-54b9-4a0a-b28d-bbcf44b031a7,90.01785730777462,5.269241319666503,1.229878696500121,-1.4539922378146246,-2.0677876389160468,81.72485879257331,2.9364035005766937,0.6142269194335207,-3.625855305984286,-2.9747991470753354,0.42797951782509175,11.087343221372079,19.85013138209358,-20.00264667805218,86.16897025310855,2136.4589240396267,-777.7192283876798,93.96768196932553,-0.810262446741227,-0.3420635533510835,-0.47588579813832516,,,,,,,,,,,,,,,,,0.9965057352400536,1,,,high,high,12.447926772202448,48.33941823972324,55.244282006428776,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
7,03/10/2024,1:08:17 PM,2,6,Matthew Dalquist,dalquma42,Right,Uc san diego,Gabe Camacho,camacga42,Left,Pacific,Windup,1,Top,1,1,2,Changeup,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,84.29469898808608,-1.8477935255033444,-3.0240632989902068,2354.879053384635,240.82088707472644,2:00,5.080108880282611,1.5780360262152047,5.361577220103691,-27.810413483853544,12.285723894950593,17.33491802639877,1.2398241883672052,0.9275931169351258,77.0128967479479,-6.555559768715394,-1.8522625813203004,0.4557459217904893,,,,,,,,,,,,-10.018294920090817,7.0182030824105075,-1.318738339096026,49.99999999999997,4.894597702523591,5.8837476007494205,-122.38311958432641,-4.886835098888513,-15.189505733487591,24.221096989165517,-21.533213315022227,UC San Diego,Pacific,,,,37df9c10-68f1-433d-b207-2aa1f7e90e3a,403133e6-39fe-4b2c-b4c8-10dae619e32f,84.44135961160741,5.079639099091927,1.5856514820295307,-1.8429146049995504,-3.1172502840082363,77.13467260250329,1.2406782263676701,0.921329137437979,-6.541640665318385,-1.9465330343091929,0.45561733460507603,18.20317516421365,11.120131710756175,-27.85403462249698,15.185903355751071,2082.0445064963756,-1100.2481670232298,88.41407389920438,-0.43105521769454624,-0.4672206691217787,-0.771943162184694,,,,,,,,,,,,,,,,,0.9964961362201362,1,,,high,high,76.33268697982403,-4.202433881749724,55.138424715896306,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
8,03/10/2024,1:08:46 PM,3,1,Matthew Dalquist,dalquma42,Right,Uc san diego,Jack Metcho,metchja42,Right,Pacific,Windup,1,Top,2,0,0,Slider,,BallCalled,,,,,,,82.9069179629823,-1.0227632305034495,-2.441226693095763,2506.27779210821,156.6231316200667,11:15,5.1544539213526255,1.36194258989401,5.246024991440096,-34.83908324909797,6.863527164162285,-3.342978975608419,0.9923621901890757,-1.2694696432577943,75.99812690007795,-7.837792778653229,-6.050621737443984,0.4647861122148142,,,,,,,,,,,,1.056781527326422,3.9171941111197275,-1.1355147330332471,50.00000000000005,5.035208506145829,5.24567596203507,-120.41379583694685,-3.319323018180158,1.545447267834047,24.246334818116644,-26.445507990537685,UC San Diego,Pacific,,,,37df9c10-68f1-433d-b207-2aa1f7e90e3a,113fbcde-9644-4b68-b52f-4e7146e128ff,83.06711567021677,5.150563550571663,1.3647467074222013,-0.9762264143969542,-2.4757100592101535,76.13175570890611,0.9959204350606563,-1.2714180700432847,-7.783946115563242,-6.079551003865747,0.4646346738548731,-3.018468044349548,5.105157621339669,-80.24160311383126,85.4699727910792,424.7988630652746,-2470.015039863777,16.949392617326183,-0.1555809983611708,-0.9855312318695806,0.0672513491208057,,,,,,,,,,,,,,,,,0.967597153844776,1,,,high,high,13.07702448802876,-30.70764653376229,55.2539769445599,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
9,03/10/2024,1:08:57 PM,3,2,Matthew Dalquist,dalquma42,Right,Uc san diego,Jack Metcho,metchja42,Right,Pacific,Windup,1,Top,2,1,0,Fastball,,StrikeCalled,,,,,,,89.45378112984318,-1.526846815990443,-2.6182860254686813,2266.9790722367393,214.2902716277022,1:15,5.238366877604087,1.0827805620314461,5.4005993677905755,-15.862698699224943,19.643002574121006,11.862308384826374,2.605693394267765,-0.3939968724936193,81.92107220773723,-3.9535370734589135,-3.52404498965567,0.4288649657001947,,,,,,,,,,,,-7.01484382539413,10.834711075669299,-0.8577959342375738,50.0,5.091324174442993,5.52250114452574,-129.95078508683693,-4.029192505266666,-11.994949239781414,27.24129123106304,-13.647363516399752,UC San Diego,Pacific,,,,37df9c10-68f1-433d-b207-2aa1f7e90e3a,0d581d05-aac9-464d-9d33-c857ef9d4e6b,89.62712666943536,5.240652434829786,1.0876015153381975,-1.5549129521785767,-2.675740949686365,82.07251954372126,2.604255068825592,-0.39784970903338934,-3.9741481711303486,-3.582026037469181,0.4287272173778283,12.395676406342009,18.901870670186103,-16.4081852275124,93.44364852588551,2174.6532414017483,-640.3728551556643,95.92736289603694,-0.7925460829099196,-0.2824785032196321,-0.5404411176834524,,,,,,,,,,,,,,,,,0.997543889339612,1,,,high,high,5.9007163267029865,61.53456457077665,55.09940256820943,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
10,03/10/2024,1:09:10 PM,3,3,Matthew Dalquist,dalquma42,Right,Uc san diego,Jack Metcho,metchja42,Right,Pacific,Windup,1,Top,2,1,1,Curveball,,BallCalled,,,,,,,74.18281150482892,2.801432921738864,-1.3669645196327103,2397.1583456201033,47.82005751946333,7:30,5.3288621219427466,1.2269835049742173,5.009208758848056,-59.584362090993444,-6.801615604899482,-12.128290564592824,3.244164098207665,-0.5382013177682731,68.26268263458967,-7.399075579894754,-5.995447856638932,0.5228986428705004,,,,,,,,,,,,5.941058844646647,-4.40253950577695,-1.0864281251251646,50.00000000000003,5.550796549786633,2.943607354919622,-107.62509559115566,3.423676252175939,6.915688871170506,19.997253839895674,-37.29882519606232,UC San Diego,Pacific,,,,37df9c10-68f1-433d-b207-2aa1f7e90e3a,683ec25b-6fad-463c-a520-e50ca3b68551,74.28125022573794,5.316465913076445,1.2284519899799735,2.9442532121545395,-1.3843419802519046,68.3203957773827,3.2536231601676677,-0.5391044810404013,-7.258344337984117,-6.008721960299612,0.5227951493931652,-11.961936425309265,-9.930012860121488,-52.85270689469484,88.28316615395757,1447.562703547772,-1910.7407865206562,60.38661176441027,0.40547267698174494,-0.7970857619863992,0.44748876662975445,,,,,,,,,,,,,,,,,0.9961489614562077,1,,,high,high,10.545150461438098,61.75274614700996,55.49079317715194,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
