PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,03/17/2024,1:07:28 PM,1,2,Donovan Chriss,chrisdo44,Right,Uc san diego,Moises Guzman,guzmamo42,Right,Cal state fullerton,Windup,1,Top,0,0,1,Slider,,InPlay,,Popup,Out,1,0,,76.95661640754162,1.2341997320857285,0.0357872633245097,2102.0130973164914,87.03867156684723,9:00,5.0466483920229726,0.5677517784751568,5.1078580395153175,-45.02273125156444,3.2026848053720656,-12.64378690612915,2.805112215359537,-0.4419794527909478,70.65576637613387,-6.254217085143549,-5.457115153683077,0.5019385884587763,85.46569812896921,68.3044482210152,-9.945843365820553,,-18.12205526350159,108.4969636119544,155.2606868472907,204.80205049999853,,-9.696969322265788,6.182935641647286,6.812048587814464,0.7185404834302276,-0.5612497248782773,50.000000000000064,5.127320640499971,0.3414002450363351,-111.82802537351074,0.9302052816278045,8.580851799186368,21.155931922986124,-31.268934286167898,UC San Diego,Cal State Fullerton,,,,5bc8387b-3add-4b3e-95df-2c3d158cda94,9922c3e5-1b62-4dd5-b0e5-56f4f796118d,77.090404239591,5.038619652166639,0.5675999114278937,1.3271633270574341,0.03730554395363079,70.75925932325033,2.8116006295158362,-0.4415842038355726,-6.157500154626687,-5.451029612420454,0.5017955023140909,-12.662869388741086,0.6739870125842619,-59.328115539103656,24.180639360019928,1072.2808371255617,-1807.9471418222865,51.012091147028315,0.026353827348599014,-0.8601027006588967,0.5094397119418084,-5.456915047581663,31.119680041659635,79.41141699365588,0.3605683313213453,2.8224729186397957,3.0443721306738043,-34.49629218246082,201.8759166286713,,,,,,,,,0.9965180007906504,1,,44.55220663423433,high,high,68.23742457598208,52.994449484018084,55.39214389648468,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
2,03/17/2024,1:08:15 PM,2,2,Donovan Chriss,chrisdo44,Right,Uc san diego,Eli Lopez,lopezel43,Right,Cal state fullerton,Windup,1,Top,1,0,1,Slider,,BallCalled,,,,,,,77.88297633129093,-1.3160686508722639,-1.4502062776763296,2122.030228425849,85.11240003090528,8:45,4.9321626832080465,0.5958930668509629,5.3756312342290435,-44.76718128920097,2.307271327091975,-11.12737665054099,0.02925830625807305,-1.9924526818690282,71.67804495163789,-9.181466325774146,-5.794935438619368,0.49402949341616087,,,,,,,,,,,,4.752757383210072,2.0291173618745684,-2.0953420324699374,49.99999999999996,4.58092777855355,7.731815372600168,-113.17961459464895,-3.5024928748085826,6.118193480888066,22.11610682521126,-29.561980083097485,UC San Diego,Cal State Fullerton,,,,5bc8387b-3add-4b3e-95df-2c3d158cda94,3545fd67-9621-4e0d-b450-5438d9e4cf29,78.01110468132262,4.924969989273577,0.5965937553505989,-1.2298237104725285,-1.4589723506014243,71.77591431308939,0.035479140424483496,-1.9927409093161321,-9.089219843927621,-5.799040577709705,0.4938951488761757,-11.042033232801785,-0.0667882010636418,-66.73891559989052,3.435926457054264,838.0355477996102,-1949.5406410170754,39.492158809692185,0.03364782904221315,-0.9187148302139273,0.39348555798877904,,,,,,,,,,,,,,,,,0.9934985794419173,1,,,high,high,86.90766618865118,36.12141936388199,55.12437070177096,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
3,03/17/2024,1:08:35 PM,2,3,Donovan Chriss,chrisdo44,Right,Uc san diego,Eli Lopez,lopezel43,Right,Cal state fullerton,Windup,1,Top,1,1,1,Slider,,StrikeCalled,,,,,,,75.55247203619395,1.6781668737226092,0.5333429603331402,2137.9164589492075,88.41998709636515,9:00,4.953887239483273,0.8361962685488251,5.2417023070902005,-47.980521483869865,2.226067734844719,-13.336382478945364,3.0567900975639772,0.11893522607426227,69.42190164852146,-5.822810868207461,-5.672671237289281,0.5099785170521111,,,,,,,,,,,,7.192060908900176,0.6842852775066786,-0.8754287275557331,50.00000000000004,5.072994592904475,-0.6144823584312683,-109.78898084278256,1.7505580795557487,8.735564682798818,20.321278497323682,-31.342908362522703,UC San Diego,Cal State Fullerton,,,,5bc8387b-3add-4b3e-95df-2c3d158cda94,748413d3-012b-428b-a7c9-2fbeda1be6ed,75.6827295025063,4.945912577541841,0.8360356425605316,1.77268507286608,0.5350254308315455,69.52408022720702,3.0632687840399275,0.11935486394449302,-5.725088925252017,-5.666182379598717,0.5098358025380839,-13.34832204942179,-0.27659906135326895,-58.26354465862226,8.582084676264486,1124.5715913859137,-1818.2479262448428,52.601287888425915,0.014503717550997336,-0.8504766024106093,0.525812885853235,,,,,,,,,,,,,,,,,0.9970481506791475,1,,,high,high,82.27612379136194,37.17904317907254,55.2582996289098,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
4,03/17/2024,1:08:50 PM,2,4,Donovan Chriss,chrisdo44,Right,Uc san diego,Eli Lopez,lopezel43,Right,Cal state fullerton,Windup,1,Top,1,1,2,Fastball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,90.48918927459917,-1.0555711197149504,-2.0553449325879263,2111.900615984437,218.4803125270015,1:15,5.343178722616809,0.3825526823922026,5.314436495220167,-18.149299066064017,16.65990513279816,11.329080796396653,3.376675740068909,-1.1026780297999863,82.03166441089344,-3.0588742489216005,-3.9186654310354414,0.42463772040735387,,,,,,,,,,,,-6.565678899223943,9.101543738046635,-0.2045267860654267,49.99999999999997,5.234638197387433,4.308157333639571,-131.5023954348891,-3.0832608430071216,-11.483345942452292,28.196342442224424,-16.255486257125717,UC San Diego,Cal State Fullerton,,,,5bc8387b-3add-4b3e-95df-2c3d158cda94,1fe8d84e-872d-4eeb-aa70-16a9bb65027a,90.66576280556734,5.344689952432214,0.38757139007962627,-1.074536159384971,-2.1157227726553245,82.18808444260789,3.3757561956730116,-1.106870177897672,-3.071561632171967,-3.981088913497966,0.42450009932348975,11.890807290356213,15.81455794487067,-29.261064471517443,72.41953734910862,1842.4255402243673,-1032.2753220553095,87.24016302090725,-0.6829352008844275,-0.4887897253508432,-0.5428481516818434,,,,,,,,,,,,,,,,,0.9969264588996909,1,,,high,high,24.822416385802203,88.28107725027816,55.18556544077983,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
5,03/17/2024,1:09:35 PM,3,2,Donovan Chriss,chrisdo44,Right,Uc san diego,Maddox Latta,lattama43,Right,Cal state fullerton,Windup,1,Top,2,1,0,Fastball,,StrikeCalled,,,,,,,89.79987714011065,-2.0248071268048635,-1.8780083182509444,2049.7728825955605,220.04692692024315,1:15,5.256832659893307,0.5369081360232854,5.43844273772423,-18.439134088355182,16.73876746522445,12.034735586895337,2.03887371357271,-0.5711055420586179,80.86743862038516,-4.657793215650563,-2.8800372417942435,0.4268806675333526,,,,,,,,,,,,-6.91170918566463,9.449552763295207,-0.3791573354042342,50.00000000000004,5.06520431532131,3.8533764130887005,-130.48816522208796,-5.267301743213549,-11.911365483352327,27.578607972885045,-15.88906513507975,UC San Diego,Cal State Fullerton,,,,5bc8387b-3add-4b3e-95df-2c3d158cda94,21f48b2e-a2da-417a-895c-fd66ab3a80a7,89.97014336434759,5.2581610180919,0.5419451322185495,-2.0417133513485792,-1.9391505498294814,81.01517830868796,2.0382262074737487,-0.5753080833716604,-4.66644763287062,-2.9432176418598845,0.426746694169796,12.602376742227916,15.892317409621027,-24.290696135253935,75.02197326689955,1868.306665627952,-843.2076099005973,91.14700860234703,-0.69774650609215,-0.41136636017589956,-0.5864533493397656,,,,,,,,,,,,,,,,,0.9845372654544495,1,,,high,high,22.480224059790377,-71.39538543222794,55.06155919827577,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
6,03/17/2024,1:09:49 PM,3,3,Donovan Chriss,chrisdo44,Right,Uc san diego,Maddox Latta,lattama43,Right,Cal state fullerton,Windup,1,Top,2,1,1,Slider,,StrikeCalled,,,,,,,78.48244096639186,1.2581119911539689,0.5943186047194894,2157.405808038984,94.37075375641886,9:15,5.007444569884056,0.6441319732909759,5.179900809966359,-41.92718350425609,4.413761642681848,-10.181891814623041,3.249945240106092,0.24588376161255274,71.81819968588148,-5.164814037892101,-4.857592977298031,0.4913489731688007,,,,,,,,,,,,5.809105580637161,1.232912995436935,-0.6913486584894752,50.000000000000014,5.091860479414735,-0.8399044895664307,-114.05888398688124,1.1083742021532093,7.618431744195798,21.852770837565522,-30.557128810179286,UC San Diego,Cal State Fullerton,,,,5bc8387b-3add-4b3e-95df-2c3d158cda94,8ee288d9-6ef6-4d4f-81cc-ab17e40e10ea,78.62321069875772,5.000759714701296,0.6447520534895002,1.3388978529244167,0.5864653873779193,71.93504097192351,3.25565547746556,0.2456110327096289,-5.07883609185342,-4.861460325168012,0.49120324784546043,-10.10205110876747,2.0937398652276333,-65.34531487983807,31.22764560598969,899.9583817724208,-1960.733212764528,41.71484003700052,-0.03179091267734061,-0.9088383861109443,0.4159352423183155,,,,,,,,,,,,,,,,,0.9956212291715484,1,,,high,high,61.895118954609266,37.2950726228337,55.32010112603364,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
7,03/17/2024,1:13:34 PM,1,2,Derek Turner,turnede47,Right,Cal state fullerton,Nick Costello,costeni43,Left,Uc san diego,Windup,1,Bottom,0,0,1,Fastball,,BallCalled,,,,,,,91.15322683567881,-2.1236955278337337,-3.0338883433017076,1863.3320497498241,229.48102254278825,1:45,5.082923254588778,2.852250214060011,5.688870377122893,-19.876672243983926,13.981138431377381,13.739551862831323,1.4127009314546455,1.8819960502241988,83.0435516008,-5.793390904373554,-2.585493630154828,0.418794489438261,,,,,,,,,,,,-8.200127360003371,8.07687801969453,-2.6058111402048807,49.99999999999999,4.891887702528045,6.54410919264525,-132.38945229146452,-5.599987171587317,-14.553869616217868,28.25595445211295,-17.838927161184163,UC San Diego,Cal State Fullerton,,,,5bc8387b-3add-4b3e-95df-2c3d158cda94,9672f046-7527-41fc-8ae9-34d4a40a3ea8,91.31842158149928,5.083416715476057,2.85777543736694,-2.1303587814405582,-3.101133601183588,83.18365068059347,1.4127124351689344,1.8775275888042156,-5.792252301902942,-2.653682932219673,0.4186707590860255,14.362367624317715,13.102982870708779,-22.263028136104065,16.629080235078135,1724.4288071802428,-705.9402358498959,92.54543801850932,-0.6012675939121672,-0.3788590637641194,-0.7035219188588571,,,,,,,,,,,,,,,,,0.9963225349899004,1,,,high,high,75.03382778842969,1.8426378730820365,54.81113155887711,Max Ortega,ortegma46,Cal state fullerton,2022-11
8,03/17/2024,1:13:52 PM,1,3,Derek Turner,turnede47,Right,Cal state fullerton,Nick Costello,costeni43,Left,Uc san diego,Windup,1,Bottom,0,1,1,Changeup,,StrikeSwinging,,,,,,,85.19095562144827,-1.4657652563863541,-4.659133581107502,1650.8911967150502,242.9243570936457,2:00,5.081608307466034,2.814869207791118,5.830461608871447,-27.839360543115898,10.796631829422946,17.18810903688593,1.2874424422372628,0.7520626255493249,77.82050357437089,-6.866181216525248,-3.120450153168007,0.4473707217986346,,,,,,,,,,,,-10.532143572865547,6.213433941991879,-2.4444593019807925,49.99999999999995,4.945298928069636,9.532086098963648,-123.574537544783,-4.045294283995499,-16.30188443310498,24.399925995076007,-22.556759301803393,UC San Diego,Cal State Fullerton,,,,5bc8387b-3add-4b3e-95df-2c3d158cda94,913e46ad-0fdc-4b12-a39d-9e07616651eb,85.339041173007,5.079917151834497,2.8214699983508176,-1.446338852639963,-4.737127208708171,77.93797104751518,1.2892427202728782,0.7469117456759026,-6.838130819578277,-3.1983205092289846,0.44724744255397586,17.911766028811442,9.588704292074722,-8.007433939904542,3.4715502884739444,1634.7950124628608,-229.97176047898802,99.02500029776537,-0.45072855509668885,-0.13930158506907464,-0.8817249219669899,,,,,,,,,,,,,,,,,0.9962504424652556,1,,,high,high,86.87560474037343,-8.774561207058444,54.66954032712855,Max Ortega,ortegma46,Cal state fullerton,2022-11
9,03/17/2024,1:14:10 PM,1,4,Derek Turner,turnede47,Right,Cal state fullerton,Nick Costello,costeni43,Left,Uc san diego,Windup,1,Bottom,0,1,2,Fastball,,InPlay,,LineDrive,Single,0,0,,92.17650106058639,-1.117138592328451,-3.5088569160779466,1902.7525297492243,227.10778726879215,1:30,5.21953997000016,2.7901591716294467,5.5848975436250345,-18.895267408276922,14.35906241364426,13.019421608821174,2.748815979741422,1.1589896861402254,83.85792440233993,-4.2167890660807,-3.7803252532466383,0.41504541671469075,98.15110050196714,15.36176472586405,-8.265653139037237,721.6150756290878,-20.453052117998936,108.08178688851066,21.53650202644299,252.56482620104774,,-13.581304451979438,2.292997027308966,-7.92558065373687,7.972471374747086,-2.497201372628076,50.0,5.11128630165757,7.746845466821395,-133.85294807984357,-3.2837139651906724,-14.373864891482475,28.986443218338035,-17.715143494646917,UC San Diego,Cal State Fullerton,,,,5bc8387b-3add-4b3e-95df-2c3d158cda94,2204c558-11eb-4de4-b1ec-6492bd29ec39,92.34777201158379,5.220338177169565,2.7954925828266135,-1.1276278608443013,-3.5739147304237058,84.00668346295018,2.7485262191071445,1.1545237138965245,-4.220118572347794,-3.8471778895171775,0.4149190573124904,13.622739582953836,13.51750726346651,-26.096872501264723,15.59099388578419,1708.7699285799836,-837.0021031322625,89.80515867742365,-0.6112330386523858,-0.43989015389330544,-0.6579443935223517,-13.606361415161395,93.66124557968476,26.00147179005917,-1.195967001761836,2.222128331840121,2.8291456397626398,-59.30852289043058,245.5025265583243,-22.58727415811961,-1.3515399900385687,0.031069637421567542,0.025254720894207425,0.16850899787029427,0.9853765354976263,,,0.996279413260651,1,0.9963780660072249,55.85971754016462,high,high,75.96810550279424,1.0912065364348238,54.915104392374964,Max Ortega,ortegma46,Cal state fullerton,2022-11
10,03/17/2024,1:15:25 PM,2,2,Derek Turner,turnede47,Right,Cal state fullerton,Michael Crossland,crossmi47,,Uc san diego,Stretch,1,Bottom,0,1,0,Fastball,,InPlay,,GroundBall,Single,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Cal State Fullerton,,,,5bc8387b-3add-4b3e-95df-2c3d158cda94,e5d17413-94f3-4104-9608-7189c051251f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max Ortega,ortegma46,Cal state fullerton,2019-02
