PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,04/27/2024,2:06:30 PM,1,1,Matthew Dalquist,dalquma42,Right,Uc san diego,Jordan Donahue,donahjo43,Left,Hawaii,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,89.59839253344681,-2.8283900779265676,-1.7369517853032386,,,,5.268963665552245,1.2739643176193527,5.211968857707733,,,,1.3956391305662375,0.8303025171583247,81.24130020924191,-5.717995272651455,-2.5970469476976015,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Hawaii,,,,b6d53b46-a4fe-490e-a48f-c8a34e570102,47cf2639-1db4-443c-bc0b-5d3e43579da1,89.75638453193248,5.264254958860821,1.2739643176193527,-2.7729356356222428,-1.736951785303234,81.37567636132201,1.3999693010070777,0.8303025171583202,-5.6525608937083085,-2.5970469476976166,0.4306508145786151,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,55.288033078292266,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
2,04/27/2024,2:06:41 PM,1,2,Matthew Dalquist,dalquma42,Right,Uc san diego,Jordan Donahue,donahjo43,Left,Hawaii,Windup,1,Top,0,0,1,Changeup,,Foul,,,,,,,83.5778237279111,-0.5408468141279922,-3.0034441360479076,2348.4472369543796,241.76582300715808,2:00,4.989862724196507,1.6477298440472123,5.278706928484587,-29.086277741483816,12.581190356248381,18.103622204755602,2.471043350100223,1.0460470037010243,75.67498298687369,-5.138224272949071,-2.094347250679778,0.46031106525140497,,,,,,,,,,,,-10.258987981129653,6.509185997342404,-1.3866513107439598,50.00000000000001,4.919681738263342,5.767523871210101,-121.37975330716846,-2.1197189086880264,-15.289697868395447,23.981414425534904,-22.472947737394776,UC San Diego,Hawaii,,,,b6d53b46-a4fe-490e-a48f-c8a34e570102,81464b36-2059-4e14-ac0d-58e56a47fad4,83.72677331168765,4.989250619828084,1.6557204242693697,-0.5343859339426243,-3.100419278052046,75.79776780317977,2.4720616539867555,1.0395043724797366,-5.121765411853014,-2.192836707868006,0.4601782795031884,19.09266132790818,11.415456550900666,-27.63230154835659,13.129981563140964,2080.5886168013376,-1089.19944564591,88.59422447572555,-0.4191183493349893,-0.46379557884317435,-0.780534092974957,,,,,,,,,,,,,,,,,0.9966517279170607,1,,,high,high,78.18301659317314,10.379601741144135,55.221295007515415,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
3,04/27/2024,2:07:04 PM,1,3,Matthew Dalquist,dalquma42,Right,Uc san diego,Jordan Donahue,donahjo43,Left,Hawaii,Windup,1,Top,0,0,2,Slider,,StrikeCalled,Strikeout,,StrikeoutLooking,1,0,,83.11768855097942,0.11447582525215695,-0.08072571560864623,2435.0642510531434,89.1033445409552,9:00,5.092801165574502,1.5514030007453772,4.9318255038635606,-38.117177821280386,3.6202594440590445,-5.677511643398325,2.1494484063026422,1.3491179700487594,76.19534676671887,-6.48490859565485,-4.625024948398516,0.46607335943332695,,,,,,,,,,,,3.0445000371899518,1.0826653239239212,-1.538808432903574,50.00000000000005,5.071779212327585,0.3771688888728676,-120.77946320863616,-1.1597926003959205,4.476377155579932,24.540912719608443,-30.582189423756482,UC San Diego,Hawaii,,,,b6d53b46-a4fe-490e-a48f-c8a34e570102,bc2eea88-76c8-4ed7-bbe4-d3b31dea2c02,83.26989873861895,5.086740483746134,1.553889442284721,0.1862396200311965,-0.11090741998707539,76.32166327455208,2.1545410830895033,1.347410751718938,-6.408827001111156,-4.650175090164555,0.46593013009029877,-5.3895658960876585,1.5866281036834322,-79.3851570960029,62.67597912989504,448.5533700909615,-2393.3946145458435,18.420596906096677,0.0028826302269978617,-0.9828876644674661,0.18418341260999657,,,,,,,,,,,,,,,,,0.9963736028445812,1,,,high,high,33.5916187830945,-78.74336457784705,55.56817643213644,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
4,04/27/2024,2:07:30 PM,2,1,Matthew Dalquist,dalquma42,Right,Uc san diego,Jake Tsukada,tsukaja42,Left,Hawaii,Windup,1,Top,1,0,0,Fastball,,BallCalled,,,,,,,89.77416613111897,-1.1929844549435504,-0.07756963828919704,2291.0087723137203,218.9061565374751,1:15,5.269130554706726,1.340911460915043,5.091236393317475,-17.545271548054693,18.45244689904868,12.860086602066996,2.8374515400334173,2.27977497105256,81.49322002366061,-3.943389998430838,-1.7450816751454823,0.42986636240090975,,,,,,,,,,,,-6.675263167815249,9.658812408128961,-1.3433319896081917,50.000000000000014,5.14274351381653,-0.29552477519120984,-130.48076741534175,-3.383654686863303,-11.479379763112824,28.092831004597635,-15.563891618270363,UC San Diego,Hawaii,,,,b6d53b46-a4fe-490e-a48f-c8a34e570102,2db68e7a-5f06-4d73-97bc-4e54deb73960,89.94832424798169,5.270950755788141,1.346337404205046,-1.2157922570832904,-0.14289896332167967,81.6449472472226,2.836360657188803,2.2753877441933006,-3.9589087175887188,-1.8115074278995553,0.42972562941340126,13.503290973941404,17.685665470515325,-23.40245374551172,55.48536594739476,2102.5449270105964,-909.9593533342163,91.77376151585874,-0.7141610819463512,-0.39718719733021196,-0.5763820601911447,,,,,,,,,,,,,,,,,0.9151418399848771,1,,,high,high,40.063170647344734,89.17520166274025,55.408765542682524,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
5,04/27/2024,2:07:40 PM,2,2,Matthew Dalquist,dalquma42,Right,Uc san diego,Jake Tsukada,tsukaja42,Left,Hawaii,Windup,1,Top,1,1,0,Fastball,,BallCalled,,,,,,,90.17257218095133,-0.7578975244247529,-1.3233446613318538,2336.861382763754,219.6585387555186,1:15,5.237676763336354,1.4096630391275826,5.097973305226689,-17.185033646031318,18.482081094067528,13.254381261315645,3.3298915401370124,1.4126889332723307,81.85574590471997,-3.348177780045291,-2.5549429574660887,0.42787004845220805,,,,,,,,,,,,-7.22387180726321,9.578453570149959,-1.2948816212385406,50.000000000000036,5.152786964218625,2.5395251858034484,-131.0487612511214,-2.387535077456419,-12.53767864237572,28.20460904031608,-15.549782716713768,UC San Diego,Hawaii,,,,b6d53b46-a4fe-490e-a48f-c8a34e570102,201652f5-9eb1-4eaa-a863-d646e5ccd9be,90.3467023702783,5.239587927479115,1.4151408681636959,-0.7819694973687387,-1.3897436349298213,82.00786188708568,3.3287098756630145,1.4081980057181072,-3.3650209290041326,-2.622736699682585,0.4277314396150196,13.92128154224633,17.7466440211631,-23.505263248720627,66.47505636640959,2142.95666298453,-932.0181665733417,91.70234395546828,-0.7059811218257547,-0.3988333126850102,-0.5852543415630078,,,,,,,,,,,,,,,,,0.9955348436170882,1,,,high,high,30.172449270231404,-88.74574864558579,55.40202863077331,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
6,04/27/2024,2:07:53 PM,2,3,Matthew Dalquist,dalquma42,Right,Uc san diego,Jake Tsukada,tsukaja42,Left,Hawaii,Windup,1,Top,1,2,0,Fastball,,StrikeCalled,,,,,,,89.66073418794466,-2.3196045898437823,-1.403119520666587,2321.768818969113,220.21703274229364,1:15,5.202061809511749,1.1522521256403364,5.2206788409142035,-17.019158360803686,18.56175596780276,13.878624028313949,1.8733369286600305,0.9879712365472995,81.22942453513677,-4.736348706159393,-1.9273958977818897,0.4293189657463176,,,,,,,,,,,,-7.700372879330635,10.42284544845689,-1.0331627034473483,50.0,4.975613641610958,2.683736433258557,-130.24694920783884,-5.898624407016963,-13.222356830012076,27.460166735794648,-14.276918646602688,UC San Diego,Hawaii,,,,b6d53b46-a4fe-490e-a48f-c8a34e570102,56d04003-525b-4d1c-a592-a443924b7cf8,89.82897695452853,5.203965697977131,1.1578403684113847,-2.3430490865717903,-1.469654984761903,81.37412994600213,1.8722749039279767,0.9834820122498674,-4.751318731999287,-1.9950093961791642,0.429185143665591,14.498123947265167,17.766619953183554,-14.768389318786797,88.02182397928232,2245.0672658482254,-591.8474639246188,96.69641729640664,-0.7383778214195219,-0.2549123147357128,-0.6243539898421739,,,,,,,,,,,,,,,,,0.9961411821924929,1,,,high,high,10.78035841864596,-89.63593038422562,55.2793230950858,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
7,04/27/2024,2:08:04 PM,2,4,Matthew Dalquist,dalquma42,Right,Uc san diego,Jake Tsukada,tsukaja42,Left,Hawaii,Windup,1,Top,1,2,1,Slider,,BallCalled,,,,,,,82.68281744034513,-2.271906807382636,-1.7863696218988765,2537.2760329830653,129.35828505410558,10:15,5.01459633837334,1.4625537880512343,5.114956166611807,-37.96643745612371,4.217209934719861,-4.029124981101435,-0.043628267599775235,-0.12591320987920657,76.61883038203328,-8.563217794723991,-4.529980588583359,0.46326670755101895,,,,,,,,,,,,0.8892665483254983,3.215906181593505,-3.436065181380025,50.00000000000003,4.560505968837398,8.225532162714401,-121.12297671776179,-5.243805362317348,1.3148489856717414,24.69774600461043,-27.41908495942555,UC San Diego,Hawaii,,,,b6d53b46-a4fe-490e-a48f-c8a34e570102,bcba3368-4307-495a-92a5-ee3b1a8711ac,82.83211766845749,5.009575894869894,1.4655792624716952,-2.2116292831278996,-1.8236349427446013,76.74439576562126,-0.03917081145563924,-0.12812289203880467,-8.496637001739998,-4.562735892472114,0.4631302230585191,-3.677605892406613,2.2982371993802033,-85.09575157676494,89.83999956587296,216.9137264999551,-2527.986966502435,8.549078763217201,-0.05421550011203752,-0.9963389610117787,0.06610109165188417,,,,,,,,,,,,,,,,,0.8492525538917699,1,,,high,high,9.144000390714353,-5.899646412332925,55.38504576938819,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
8,04/27/2024,2:08:20 PM,2,5,Matthew Dalquist,dalquma42,Right,Uc san diego,Jake Tsukada,tsukaja42,Left,Hawaii,Windup,1,Top,1,3,1,Fastball,,BallCalled,Walk,,,,,,89.83224936628372,-0.45724762181732836,-1.0263041998345532,2333.6042664649817,218.71457312945518,1:15,5.180418252139531,1.3870902697707101,5.170845885354126,-17.90674019540203,18.90635812669219,13.21222252804608,3.5470595616690868,1.713389376524762,80.42071153366598,-3.072219778622146,-2.409887147379567,0.42888508722907714,,,,,,,,,,,,-7.090819714057002,9.67050257621093,-1.3012905146563403,49.99999999999996,5.124890070615722,1.8634733487832544,-130.58709503826404,-1.6818017248512411,-12.215950205878883,28.095387908469114,-15.513863218177967,UC San Diego,Hawaii,,,,b6d53b46-a4fe-490e-a48f-c8a34e570102,0163fa68-fbd1-418f-a0cc-28a2deaaf606,90.01147505242375,5.182567480566666,1.392947058948615,-0.48293586532929417,-1.0937218201176284,80.57305887034983,3.5459032294978576,1.7088802677843196,-3.088699031047094,-2.478053709503346,0.4287414195113377,13.872559975957495,18.121105896375994,-22.270058091676837,53.028933896724254,2159.5357974679087,-884.3721003730325,92.54078887759502,-0.722069264706376,-0.37897261034438695,-0.5787881629535585,,,,,,,,,,,,,,,,,0.9858857853646547,1,,,high,high,42.2739594929482,81.75243372364167,55.32915605064588,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
9,04/27/2024,2:10:14 PM,3,1,Matthew Dalquist,dalquma42,Right,Uc san diego,Austin Machado,machaau42,Left,Hawaii,Windup,1,Top,1,0,0,Fastball,,BallCalled,,,,,,,89.3102660103511,-2.7889525613835255,-1.3757369751446102,2333.2858815059044,223.1312528872405,1:30,5.204941096149469,1.2955928589264571,5.274553118799339,-17.896290366144594,17.90821056239864,14.756114599880066,1.4863844962521415,1.1781441642727994,80.13392793952313,-5.078387132081287,-1.7689000666458135,0.43875894773408186,,,,,,,,,,,,-9.181203708688313,10.13354101434643,-3.808848318262847,50.00000000000003,4.395843749484671,9.610840469584948,-127.21550934981121,-4.222267381825957,-15.073809568076198,25.644901832843694,-15.536681290163456,UC San Diego,Hawaii,,,,b6d53b46-a4fe-490e-a48f-c8a34e570102,42aa2941-5a3f-467e-b8d3-e042e8b98abc,89.47299240484958,5.206523142512279,1.3013492766291772,-2.8088689650184593,-1.4455606427096226,80.27361720670376,1.4856131796939265,1.173393433672967,-5.08905523328476,-1.8408477267279026,0.4386349093026808,15.406074667775206,17.08639198247511,-14.185573922427853,93.4560370659968,2262.137188181911,-571.8027165720919,96.95070827420109,-0.7075360557627308,-0.24506329083131898,-0.6628247983310839,,,,,,,,,,,,,,,,,0.9774380299376104,1,,,high,high,5.88956664060267,-65.10121640630751,55.225448817200665,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
10,04/27/2024,2:10:34 PM,3,2,Matthew Dalquist,dalquma42,Right,Uc san diego,Austin Machado,machaau42,Left,Hawaii,Windup,1,Top,1,1,0,Changeup,,StrikeSwinging,,,,,,,82.92076585220387,0.8185902652343172,-4.19557605773968,2321.6972327453773,241.29295461864717,2:00,4.910929889812337,5.403315709948755,6.0000001920000035,-28.59311001100679,11.890858961711064,17.048545886524654,3.288666908435727,2.929952260044269,75.62856973973992,-4.56199064210058,-0.9873279480563442,0.45794472847786394,,,,,,,,,,,,-10.401504883635122,6.209785773522217,-5.082599853251357,49.999999999999936,4.959643281141272,8.328224405137846,-120.40674581688769,0.8787967807345298,-15.267075548248558,23.419328201370707,-23.05947726176241,UC San Diego,Hawaii,,,,b6d53b46-a4fe-490e-a48f-c8a34e570102,7a8ee8f1-cdf9-433b-af5e-d90534703aee,83.0769387658593,4.910344914896217,5.411516875134891,0.8244581950775489,-4.29479969321214,75.75139258980916,3.2897043026764488,2.923653119772566,-4.545212521659291,-1.083510157457401,0.45782185476414766,17.98376395691809,10.70266986492529,-30.114310800433326,19.86772399109541,2008.3287690053512,-1164.8577578927795,86.50261285923695,-0.4154991700173912,-0.5017268149625824,-0.7587032640382942,,,,,,,,,,,,,,,,,0.37348997250028737,0,,,medium,high,72.11904840801411,-1.4024779553704987,54.500001743999995,Emiliano Gonzalez,gonzaem47,Uc san diego,2022-11
